timestamp,iterations,solutions,solver_checks,solver_time
1675447341.2639048,1,0,0,0
1675476006.1996965,2,0,1,28664.93341565132
1675487355.1415942,3,1,2,40013.85337996483
1675487425.3163846,4,2,3,40084.01528573036
1675487487.6362565,5,3,4,40146.32305383682
1675487619.4952924,6,4,5,40278.169925928116
1675487719.4482462,7,5,6,40378.11051487923
1675487784.761894,8,6,7,40443.41178703308
1675487830.7383184,9,7,8,40489.376082897186
1675487877.467777,10,8,9,40536.09444642067
1675487999.1550932,11,9,11,40657.769590616226
1675488048.1910262,12,10,12,40706.79351520538
1675488120.414157,13,11,13,40779.00473213196
1675488208.5411735,14,12,14,40867.119820833206
1675488294.048621,15,13,15,40952.61556458473
1675488380.285682,16,14,16,41038.8408601284
1675501577.8788106,17,15,19,54236.205137491226
1675504195.2232103,18,16,20,56853.53177142143
1675505287.859768,19,17,21,57946.15005540848
1675507514.2767174,20,18,25,60172.50214648247
1675507614.3704455,21,19,26,60272.57760334015
1675507710.9565787,22,20,28,60369.13867044449
1675507751.6010935,23,21,29,60409.76503443718
1675507805.357693,24,22,32,60463.5047018528
1675507830.1811812,25,23,33,60488.310379743576
1675507932.8706837,26,24,34,60590.98867559433
1675507996.7636452,27,25,35,60654.86507034302
1675510854.1396687,28,26,63,63512.1534307003
1675510956.0155017,29,27,64,63614.013641119
1675511015.052316,30,28,65,63673.02875638008
1675511131.2771714,31,29,66,63789.23398947716
1675511171.0057998,32,30,68,63828.942529439926
1675511222.8662474,33,31,69,63880.79029369354
1675511252.2318625,34,32,83,63910.131447553635
1675511302.1092224,35,33,84,63959.99398612976
1675511373.7848659,36,34,98,64031.64658641815
1675511398.0951226,37,35,99,64055.940594911575
1675511471.1186514,38,36,113,64128.94434714317
1675511521.1126237,39,37,114,64178.92093086243
1675511593.19481,40,38,128,64250.97317147255
1675511992.0629902,41,39,129,64649.82470154762
1675512157.601371,42,40,144,64815.33043551445
1675512226.2700377,43,41,145,64883.98178124428
1675512309.345041,44,42,146,64967.03957605362
1675512364.6701431,45,43,147,65022.34592342377
1675512433.5683572,46,44,149,65091.22968316078
1675512677.102699,47,45,153,65334.743455410004
1675512820.4122825,48,46,159,65478.03252410889
1675512910.3441024,49,47,160,65567.94718623161
1675512965.1517193,50,48,165,65622.73466587067
1675513253.4233904,51,49,169,65910.98535823822
1675513332.0755205,52,50,170,65989.620439291
1675513460.2498713,53,51,177,66117.77105307579
1675513512.7096486,54,52,181,66170.20984530449
1675513740.7956355,55,53,185,66398.27136898041
1675513798.3629591,56,54,186,66455.82157540321
1675513835.1452074,57,55,193,66492.58266019821
1675514075.9968326,58,56,197,66733.4184627533
1675514197.983752,59,57,201,66855.3810596466
1675514269.0233812,60,58,202,66926.4038784504
1675514354.9223344,61,59,209,67012.27983045578
1675514380.6996765,62,60,213,67038.03355646133
1675514622.1930501,63,61,217,67279.51222372055
1675514722.1578648,64,62,223,67379.4567246437
1675514783.699045,65,63,224,67440.98100757599
1675514862.924539,66,64,229,67520.18447256088
1675514927.6074076,67,65,230,67584.84812068939
1675515089.3329504,68,66,233,67746.55359768867
1675515131.2986138,69,67,234,67788.50007534027
1675515198.4781682,70,68,235,67855.66420698166
1675515239.694957,71,69,237,67896.86205911636
1675515305.279189,72,70,238,67962.43140673637
1675515453.8313603,73,71,241,68110.9640789032
1675515500.9060595,74,72,242,68158.0220053196
1675515528.32782,75,73,251,68185.4242720604
1675515594.6277575,76,74,252,68251.71198439598
1675515670.140053,77,75,261,68327.20237970352
1675515776.2182753,78,76,262,68433.26339745522
1675515828.7218738,79,77,270,68485.74474000931
1675515854.1179748,80,78,271,68511.12342071533
1675516008.3751347,81,79,274,68665.36226439476
1675516146.1396391,82,80,275,68803.11287021637
1675516228.6277707,83,81,284,68885.57912611961
1675516409.7870324,84,82,285,69066.72181892395
1675516431.7895584,85,83,294,69088.70247912407
1675516516.3846085,86,84,295,69173.28421401978
1675516584.023851,87,85,303,69240.90131735802
1675516651.6447163,88,86,304,69308.5003194809
1675516783.3501465,89,87,307,69440.17934203148
1675516854.032194,90,88,308,69510.83852815628
1675516902.2729836,91,89,317,69559.05748224258
1675517031.5486007,92,90,318,69688.31652569771
1675517063.034007,93,91,327,69719.77997803688
1675517132.2345347,94,92,328,69788.96558117867
1675517181.5233068,95,93,336,69838.22739505768
1675517222.5750308,96,94,337,69879.26105356216
1675517339.1775215,97,95,340,69995.84710717201
1675517378.8179123,98,96,341,70035.47121310234
1675517519.3194683,99,97,350,70175.95500659943
1675517625.4186091,100,98,351,70282.0323600769
1675517714.8150792,101,99,360,70371.39712810516
1675517791.9836,102,100,361,70448.54800724983
1675517854.7590463,103,101,370,70511.29874634743
1675518069.731534,104,102,371,70726.25268745422
1675518121.9758172,105,103,372,70778.47925925255
1675518630.7447622,106,104,376,71287.21735835075
1675518682.4301028,107,105,377,71338.8873655796
1675519067.236436,108,106,387,71723.66346025467
1675519160.587821,109,107,388,71816.99755167961
1675519617.9447026,110,108,398,72274.31402897835
1675519753.3640254,111,109,399,72409.71701908112
1675520085.1515687,112,110,409,72741.4622938633
