timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675447341.546718,1,0,0,0,0,0,0
1675447408.4539497,2,1,0,1,0.006731748580932617,1,66.71251058578491
1675447462.4450777,3,2,0,2,0.012701272964477539,2,120.43377923965454
1675447494.1198847,4,3,0,3,0.019127607345581055,3,151.74306726455688
1675447531.8393157,5,4,0,4,0.026551246643066406,4,189.01433849334717
1675447581.9789507,6,5,0,5,0.032782793045043945,5,238.6265196800232
1675447609.198115,7,6,0,6,0.03909492492675781,6,265.22628831863403
1675447667.829205,8,7,0,7,0.05626058578491211,7,323.0751883983612
1675447710.9065309,9,8,0,8,0.06959867477416992,8,364.91789531707764
1675447741.051965,10,9,0,9,0.09908747673034668,9,393.65196442604065
1675447811.8512893,11,10,0,10,0.10954737663269043,10,462.974645614624
1675447855.0312645,12,11,0,11,0.13989758491516113,11,504.5196018218994
1675447899.2297866,13,12,0,12,0.15364766120910645,12,546.9509241580963
1675447924.9308448,14,13,0,13,0.16780900955200195,13,570.818342924118
1675447958.6695077,15,14,0,14,0.21511125564575195,14,603.211811542511
1675447960.2551253,16,15,0,15,0.23324012756347656,15,603.3688712120056
1675447962.036558,17,16,0,16,0.24258780479431152,16,603.4995248317719
1675447964.8256116,18,17,0,17,0.26510190963745117,17,603.716926574707
1675447967.9617715,19,18,0,18,0.34159088134765625,18,604.1867189407349
1675447970.881151,20,19,0,19,0.36223793029785156,19,604.4209125041962
1675447974.0110676,21,20,0,20,0.38343071937561035,20,604.7670176029205
1675448027.53928,22,21,0,21,0.4026215076446533,21,655.4009020328522
1675448176.9824858,23,22,0,22,0.4284791946411133,22,801.7890677452087
1675448181.1160185,24,23,0,23,0.46068358421325684,23,802.7883548736572
1675448185.037304,25,24,0,24,0.49947309494018555,24,803.4402730464935
1675448231.26185,26,25,0,25,0.5898170471191406,25,846.1927108764648
1675448294.9421077,27,26,0,26,0.6160070896148682,26,906.3575854301453
1675448361.8073695,28,27,0,27,0.7059769630432129,27,969.3275964260101
1675448389.6807792,29,28,0,28,0.7588224411010742,28,993.406393289566
1675448436.6718898,30,29,0,29,0.8329687118530273,29,1036.3697109222412
1675448624.053296,31,29,1,30,0.8626470565795898,30,1219.850076675415
1675448657.7754078,32,29,2,31,0.8782925605773926,31,1249.6645348072052
1675448732.3873448,33,29,3,32,0.8898460865020752,32,1320.4093854427338
1675448800.420422,34,29,4,33,0.9061315059661865,33,1384.4635441303253
1675448879.016677,35,29,5,34,0.9173543453216553,34,1459.1801090240479
1675448934.9897933,36,30,5,35,0.9377405643463135,35,1511.0204298496246
1675448939.5053637,37,31,5,36,0.9577648639678955,36,1511.3564879894257
1675448943.9956567,38,32,5,37,1.0392959117889404,37,1511.4640455245972
1675448948.592168,39,33,5,38,1.1270627975463867,38,1511.616465806961
1675449019.8712206,40,34,5,39,1.1704716682434082,39,1578.365552186966
1675449089.6698208,41,35,5,40,1.2667686939239502,40,1643.4416320323944
1675449164.7961447,42,36,5,41,1.3176124095916748,41,1713.7165596485138
1675449222.0049531,43,37,5,42,1.3784313201904297,42,1765.9537217617035
1675449285.452244,44,38,5,43,1.4875702857971191,43,1824.2391004562378
1675449384.7110925,45,39,5,44,1.590503215789795,44,1918.1874959468842
1675449474.96795,46,40,5,45,1.6807522773742676,45,2003.0852324962616
1675449606.288631,47,41,5,46,1.7488641738891602,46,2128.851216316223
1675449708.7465682,48,42,5,47,1.827251672744751,47,2225.680989742279
1675449731.570493,49,43,5,48,1.8654265403747559,48,2242.6537363529205
1675449769.5995958,50,44,5,49,1.948946237564087,49,2274.8213300704956
1675449824.24558,51,45,5,50,2.0020532608032227,50,2323.444587469101
1675449830.8951683,52,46,5,51,2.274005889892578,51,2323.74551820755
1675449873.6383958,53,47,5,52,2.350224256515503,52,2360.2588698863983
1675449907.8678887,54,48,5,53,2.412719488143921,53,2390.172796010971
1675449953.64531,55,49,5,54,2.4457521438598633,54,2431.600251197815
1675449958.3307884,56,50,5,55,2.494523286819458,55,2431.8167068958282
1675450066.223454,57,51,5,56,2.5531387329101562,56,2535.1250727176666
1675450114.2523375,58,52,5,57,2.684523105621338,57,2578.4252796173096
1675450259.5492537,59,53,5,58,3.1830639839172363,58,2718.5415227413177
1675450329.5536308,60,54,5,59,3.2866108417510986,59,2783.6771681308746
1675450404.9082024,61,55,5,60,3.3445096015930176,60,2854.1093831062317
1675450525.8563738,62,56,5,61,3.4675638675689697,61,2969.969120979309
1675450562.585988,63,57,5,62,3.587564706802368,62,3001.5990731716156
1675450568.0619433,64,58,5,63,3.6681747436523438,63,3001.846446990967
1675450617.5853872,65,59,5,64,3.8851492404937744,64,3043.200663805008
1675450655.401374,66,60,5,65,4.077483654022217,65,3072.563284635544
1675450754.6662767,67,61,5,66,4.574837684631348,66,3162.9343123435974
1675450791.8747902,68,62,5,67,4.75075888633728,67,3191.5688557624817
1675450800.4502912,69,63,5,68,4.787811040878296,68,3191.6366817951202
1675450904.190281,70,64,5,69,4.852357625961304,69,3286.6729388237
1675450966.8840883,71,65,5,70,4.913419961929321,70,3340.4771254062653
1675451044.5472515,72,66,5,71,4.96653413772583,71,3409.154524564743
1675451054.4125056,73,67,5,72,5.0817859172821045,72,3409.7567486763
1675451064.030953,74,68,5,73,5.126919269561768,73,3410.124169588089
1675451117.4135358,75,68,6,74,5.315684080123901,74,3454.1145997047424
1675451164.5441685,76,68,7,75,5.354814052581787,75,3491.9883692264557
1675451219.541628,77,69,7,76,5.396543979644775,76,3537.5088629722595
1675451270.1546857,78,69,8,77,5.468043327331543,77,3578.6963868141174
1675451339.713324,79,69,9,78,5.493678569793701,78,3638.8079690933228
1675451423.5072768,80,69,10,79,5.534352779388428,79,3713.0368599891663
1675451553.0071895,81,69,11,80,5.563797473907471,80,3833.0910482406616
1675451608.5231147,82,69,12,81,5.594776153564453,81,3879.1889004707336
1675451650.8136377,83,69,13,82,5.631104230880737,82,3915.3490509986877
1675451745.1282759,84,69,14,83,5.651743412017822,83,4003.541679382324
1675451782.8382556,85,69,15,84,5.672495365142822,84,4035.1320145130157
1675451823.8237867,86,69,16,85,5.692641973495483,85,4070.0411245822906
1675451860.2592402,87,69,17,86,5.71304178237915,86,4100.324893951416
1675451971.9176762,88,69,18,87,5.733506679534912,87,4205.838803052902
1675452009.0350258,89,69,19,88,5.754487991333008,88,4236.827036857605
1675452038.190964,90,69,20,89,5.774734258651733,89,4259.894526720047
1675452074.7324507,91,69,21,90,5.794939041137695,90,4290.337798118591
1675452116.0253255,92,69,22,91,5.819547653198242,91,4325.582195043564
1675452154.2285607,93,69,23,92,5.84397029876709,92,4357.6638724803925
1675452208.0943775,94,69,24,93,5.872150182723999,93,4405.425778388977
1675452346.5175936,95,69,25,94,5.892904043197632,94,4537.695133686066
1675452377.151047,96,69,26,95,5.914970636367798,95,4562.191876649857
1675452475.7308302,97,69,27,96,5.935405731201172,96,4654.638675928116
1675452513.184427,98,69,28,97,5.95608377456665,97,4685.8591730594635
1675452546.0578156,99,69,29,98,5.97113037109375,98,4712.596422195435
1675452604.5141325,100,69,30,99,5.99157977104187,99,4764.9342160224915
1675452635.9125705,101,69,31,100,6.011084794998169,100,4790.207732915878
1675452733.2340121,102,69,32,101,6.034902095794678,101,4881.323322057724
