timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675447341.8018246,1,0,0,0,0,0,0
1675447381.447799,2,1,0,1,0.007171630859375,1,39.42364144325256
1675447414.2316337,3,2,0,2,1.853651523590088,2,70.05244183540344
1675447527.6576939,4,3,0,3,6.939959287643433,3,177.92066192626953
1675447560.8727713,5,4,0,4,13.403448104858398,4,204.11564373970032
1675447660.1262453,6,5,0,5,24.833581686019897,5,291.24169993400574
1675447672.5845597,7,6,0,6,36.40473484992981,6,291.3303654193878
1675447728.3298073,8,7,0,7,45.74237823486328,7,336.7951645851135
1675447789.0733497,9,8,0,8,89.13441824913025,8,353.0657653808594
1675447924.3461156,10,9,0,9,128.17577838897705,9,448.11337661743164
1675447996.1782734,11,10,0,10,172.94126105308533,10,473.8216905593872
1675448160.7060263,12,11,0,11,305.5837240219116,11,504.1597492694855
1675448277.1984444,13,12,0,12,398.2237277030945,12,526.4142594337463
1675448369.6869578,14,13,0,13,488.8467845916748,13,526.5466411113739
1675448528.1658747,15,14,0,14,645.353134393692,14,526.7269859313965
1675448668.848135,16,15,0,15,783.9316282272339,15,526.8585748672485
1675448775.126022,17,16,0,16,867.3303565979004,16,547.6693558692932
1675449129.6328697,18,17,0,17,1186.3548641204834,17,580.9076566696167
1675449325.0654595,19,18,0,18,1356.7824516296387,18,603.5651967525482
1675449812.0434992,20,19,0,19,1519.783551454544,19,924.9354240894318
1675449999.348127,21,20,0,20,1688.0718400478363,20,941.3453803062439
1675450194.0300114,22,21,0,21,1820.899798631668,21,1000.3735864162445
1675450836.918372,23,22,0,22,2006.3863291740417,22,1454.8271796703339
1675451013.2541397,24,23,0,23,2136.7086441516876,23,1497.7129318714142
1675451434.350159,25,24,0,24,2503.979590654373,24,1548.4201884269714
1675451910.3962083,26,25,0,25,2927.4417231082916,25,1597.7025923728943
1675452662.3393006,27,26,0,26,3330.946976184845,26,1942.787659406662
1675453584.052524,28,27,0,27,4235.0833196640015,27,1956.8271248340607
1675454268.488194,29,27,1,28,4884.487979888916,28,1988.3235104084015
1675454324.1656919,30,27,2,29,4900.7043607234955,29,2024.2912230491638
1675454364.3171272,31,27,3,30,4917.093978643417,30,2044.4990332126617
1675454440.8963964,32,28,3,31,4933.63592004776,31,2100.792168855667
1675455619.916045,33,29,3,32,5817.076620340347,32,2392.137987613678
1675456635.6636646,34,30,3,33,6742.369299173355,33,2476.2635004520416
1675457178.4491303,35,31,3,34,7223.971611499786,34,2530.743929386139
1675458193.6732275,36,32,3,35,8146.29408621788,35,2619.241270542145
1675459354.121657,37,33,3,36,9247.15224981308,36,2674.3750455379486
1675460175.2222903,38,33,4,37,10030.628048181534,37,2707.037638902664
1675460301.7186396,39,33,5,38,10074.42744922638,38,2784.868560552597
1675460354.3728218,40,33,6,39,10104.683524131775,39,2800.104944705963
1675460426.5543847,41,33,7,40,10142.254252672195,40,2829.7863681316376
1675460968.4256995,42,33,8,41,10175.797614097595,41,3333.291312456131
1675461039.1283987,43,33,9,42,10213.753595590591,42,3359.0930202007294
1675461178.702654,44,33,10,43,10240.188642024994,43,3467.7275388240814
1675461284.893134,45,33,11,44,10274.97254729271,44,3532.4453003406525
1675462044.2480154,46,33,12,45,10301.155514478683,45,4261.0186376571655
1675462230.2644975,47,33,13,46,10328.39454293251,46,4415.2722198963165
1675462434.6027617,48,33,14,47,10365.092440128326,47,4578.061297893524
1675462716.987042,49,33,15,48,10400.95686340332,48,4817.633211374283
1675463787.8617947,50,33,16,49,10437.899879217148,49,5844.560152292252
1675463878.301263,51,33,17,50,10475.54432106018,50,5892.289177179337
1675464047.2801301,52,33,18,51,10502.84008550644,51,6029.458420991898
1675464121.558958,53,33,19,52,10530.450821876526,52,6071.455549955368
1675464194.0640578,54,33,20,53,10564.870163202286,53,6102.7416203022
1675464369.2120118,55,33,21,54,10592.751782417297,54,6245.384941339493
1675464439.3578608,56,33,22,55,10622.155465364456,55,6280.448925495148
1675464507.636638,57,33,23,56,10650.2153236866,56,6316.151197910309
1675464593.0303082,58,33,24,57,10677.31797671318,57,6368.068306207657
1675464850.7997015,59,34,24,58,10907.739291667938,58,6388.116988658905
1675466021.3315556,60,35,24,59,11492.172685146332,59,6969.306607961655
1675466415.9372363,61,35,25,60,11829.38265800476,60,7020.234251499176
1675466517.7382326,62,35,26,61,11879.858891248703,61,7065.319261550903
1675472427.5565038,63,35,27,62,11918.333143472672,62,12930.775895118713
1675472497.265947,64,35,28,63,11949.50703549385,63,12964.477447271347
1675472669.5623677,65,35,29,64,11982.430743694305,64,13098.734929561615
1675472734.150008,66,35,30,65,12011.890820503235,65,13129.224113464355
1675472835.871429,67,35,31,66,12041.81013917923,66,13196.350344657898
1675472914.99331,68,36,31,67,12072.540136814117,67,13239.718111515045
1675473212.7166731,69,36,32,68,12338.981404066086,68,13266.188920497894
1675473278.9379573,70,37,32,69,12372.292078733444,69,13293.974725484848
1675473960.9551575,71,37,33,70,13009.885519981384,70,13330.85504102707
1675474052.0038576,72,37,34,71,13065.634709119797,71,13360.462249994278
1675474448.1194248,73,37,35,72,13114.984406232834,72,13700.73313999176
1675474758.8444328,74,37,36,73,13159.602524757385,73,13961.485818624496
1675474971.3341691,75,37,37,74,13206.361888170242,74,14122.177097797394
1675475050.7004852,76,37,38,75,13251.704379081726,75,14150.957327604294
1675475343.4839153,77,37,39,76,13301.300907611847,76,14389.035231351852
1675475445.3355508,78,37,40,77,13347.235386610031,77,14439.841817617416
1675475528.1978347,79,37,41,78,13393.040633678436,78,14471.798884868622
1675475623.696389,80,37,42,79,13446.313218832016,79,14508.631133079529
1675475855.1388454,81,37,43,80,13516.906416654587,80,14660.987629652023
1675475918.2356923,82,37,44,81,13560.81029868126,81,14675.090537548065
1675475999.4845665,83,37,45,82,13611.166483402252,82,14698.423045158386
1675477139.5870001,84,37,46,83,13659.175912380219,83,15785.413295030594
1675477222.9937277,85,37,47,84,13703.831410884857,84,15819.154199123383
