timestamp,iterations,solutions,solver_checks,solver_time
1675447345.5404146,1,0,0,0
1675466231.548151,2,0,1,18886.00527405739
1675473252.089872,3,1,2,25906.517148971558
1675475784.9180079,4,2,3,28439.33608865738
1675476441.2568302,5,3,4,29095.663707971573
1675477301.745707,6,4,5,29956.14086842537
1675479006.750756,7,5,10,31661.09430551529
1675479039.176044,8,6,11,31693.50838112831
1675479086.511934,9,7,14,31740.83384513855
1675479167.9975607,10,8,21,31822.30472755432
1675479216.8714468,11,9,22,31871.166820526123
1675479241.5883296,12,10,31,31895.86264872551
1675479431.3962138,13,11,32,32085.663232803345
1675479450.0027251,14,12,35,32104.257102012634
1675479525.891652,15,13,38,32180.13127708435
1675479583.706369,16,14,41,32237.930109024048
1675479622.8521748,17,15,42,32277.063847780228
1675479999.9398386,18,16,44,32654.12751841545
1675480177.4472783,19,17,47,32831.621935606
1675480748.8466792,20,18,52,33402.999272823334
1675480983.5489323,21,19,62,33637.67537474632
1675481021.6724424,22,20,63,33675.788591623306
1675481057.377083,23,21,66,33711.48233485222
1675481107.7296863,24,22,67,33761.82723116875
1675481386.6155398,25,23,79,34040.69584417343
1675481427.9627793,26,24,80,34082.03243851662
1675481555.7059767,27,25,83,34209.76348185539
1675481603.4498038,28,26,88,34257.4948720932
1675481653.287759,29,27,89,34307.32543969154
1675481725.4534743,30,28,95,34379.47612142563
1675482016.2986875,31,29,100,34670.30581974983
1675482212.6709146,32,30,110,34866.65133357048
1675482231.526669,33,31,111,34885.49528837204
1675482270.437332,34,32,114,34924.39657020569
1675482292.9484954,35,33,115,34946.89787912369
1675482754.8491518,36,34,127,35408.77975320816
1675482884.842182,37,35,128,35538.76075673103
1675483133.9595814,38,36,131,35787.865908145905
1675483167.0874782,39,37,136,35820.981454610825
1675483354.1154668,40,38,141,36007.9955496788
1675483387.818437,41,39,142,36041.69087600708
1675484019.8100538,42,40,148,36673.66913700104
1675487584.5262697,43,41,159,40238.278235673904
1675487663.535663,44,42,160,40317.27791619301
1675488054.6041892,45,43,163,40708.332909822464
1675488110.054452,46,44,164,40763.77369880676
1675488677.433966,47,45,173,41331.12490987778
1675488713.6086323,48,46,174,41367.289998054504
1675488958.1749253,49,47,177,41611.84420251846
1675489042.3039076,50,48,180,41695.96201634407
1675489991.0830922,51,49,183,42644.71739721298
1675490045.4177241,52,50,184,42699.04277300835
1675490125.5952687,53,51,187,42779.20723819733
1675498595.805995,54,52,194,51249.24882936478
1675500724.1817608,55,53,196,53377.570078372955
1675500779.5803661,56,54,197,53432.94819974899
1675514365.1006424,57,55,202,67017.88393115997
1675514404.4897077,58,56,203,67057.25738310814
1675537652.6135037,59,57,223,90304.01548790932
