timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675447345.8368282,1,0,0,0,0,0,0
1675447377.8817942,2,1,0,1,0.0065937042236328125,1,31.899659633636475
1675447459.513706,3,2,0,2,4.877977132797241,2,108.44204592704773
1675447471.4214542,4,3,0,3,6.182933807373047,3,118.79359555244446
1675447526.0108488,5,4,0,4,46.6282434463501,4,132.62327408790588
1675447555.6022034,6,5,0,5,58.49165892601013,5,149.94590735435486
1675447639.1846533,7,6,0,6,123.93182468414307,6,167.6359429359436
1675447823.4027257,8,7,0,7,236.54710507392883,7,238.7061676979065
1675447956.2442038,9,8,0,8,350.9925708770752,8,256.48622941970825
1675448080.8144772,10,9,0,9,449.65449571609497,9,281.7349603176117
1675448152.9520261,11,10,0,10,521.0422677993774,10,281.7798571586609
1675448282.3683138,12,11,0,11,609.4363212585449,11,321.9892635345459
1675448357.1991565,13,12,0,12,666.7772018909454,12,338.633184671402
1675448620.4670756,14,13,0,13,914.0176696777344,13,353.70518612861633
1675448832.5422163,15,14,0,14,1105.786738872528,14,373.0327157974243
1675449618.906071,16,15,0,15,1253.8614573478699,15,1010.2595732212067
1675449784.2513802,17,16,0,16,1394.4493505954742,16,1033.879537820816
1675450269.097735,18,17,0,17,1822.4387919902802,17,1089.526000738144
1675450792.8109798,19,18,0,18,2274.8436317443848,18,1159.5560805797577
1675451448.213224,20,19,0,19,2898.3871970176697,19,1190.0483191013336
1675451545.2847822,21,20,0,20,2953.9966893196106,20,1229.8936967849731
1675452285.3718007,22,21,0,21,3658.3079357147217,21,1263.4671289920807
1675452907.366597,23,22,0,22,4250.912230730057,22,1291.2741587162018
1675453182.6218343,24,23,0,23,4434.337904691696,23,1381.398053407669
1675454866.2618551,25,24,0,24,5558.846300840378,24,1937.9392275810242
1675455456.9396489,26,25,0,25,6146.3582100868225,25,1938.3813903331757
1675457433.6909328,27,26,0,26,8089.4088306427,26,1969.9910366535187
1675458417.4028678,28,27,0,27,9034.190397262573,27,2006.8612172603607
1675462877.8289607,29,27,1,28,12776.468923091888,28,2722.850003004074
1675462984.937068,30,28,1,29,12848.301753997803,29,2755.533414363861
1675464403.136979,31,28,2,30,14217.497260093689,30,2802.305559396744
1675464559.1476974,32,28,3,31,14318.75742816925,31,2854.18345785141
1675464649.1307037,33,28,4,32,14381.37475848198,32,2878.9002747535706
1675464743.3287935,34,28,5,33,14413.172223806381,33,2938.7118108272552
1675464886.8740923,35,28,6,34,14497.20251584053,34,2995.0816657543182
1675465113.266942,36,28,7,35,14540.816363811493,35,3175.5503554344177
1675465228.486518,37,28,8,36,14599.16847872734,36,3230.3151202201843
1675465346.6550982,38,28,9,37,14629.525915145874,37,3316.0428535938263
1675465434.831,39,29,9,38,14698.176978826523,38,3333.4145061969757
1675466438.8069239,40,30,9,39,15682.460466623306,39,3350.8213329315186
1675471106.71997,41,30,10,40,20334.031076192856,40,3364.8607354164124
1675471184.6537979,42,31,10,41,20374.099341630936,41,3400.3062641620636
1675472991.1547759,43,31,11,42,22144.846849679947,42,3433.6949710845947
1675473257.7902162,44,31,12,43,22203.938596248627,43,3638.7383754253387
1675473536.4074762,45,31,13,44,22259.8154361248,44,3859.1499457359314
1675473692.080841,46,32,13,45,22381.911286354065,45,3889.8295180797577
1675475581.4208663,47,32,14,46,24125.427237033844,46,4033.197051525116
1675475697.0194142,48,32,15,47,24198.35074710846,47,4073.3459713459015
1675476650.883741,49,32,16,48,24410.170361042023,48,4812.908333778381
1675476986.4383128,50,32,17,49,24682.949912309647,49,4873.304290294647
1675480993.8866067,51,33,17,50,28625.744285821915,50,4935.438138961792
1675482440.5665119,52,33,18,51,30052.269725322723,51,4953.127261161804
1675482909.6456678,53,34,18,52,30441.685863256454,52,5030.060435056686
1675485544.2418363,54,34,19,53,33045.00065302849,53,5058.838728189468
1675485778.0826507,55,34,20,54,33113.60815286636,54,5221.561796665192
1675487919.757097,56,34,21,55,35231.5616235733,55,5242.770060062408
1675487980.444609,57,34,22,56,35265.10978102684,56,5267.401999950409
1675488100.4400282,58,34,23,57,35323.3121278286,57,5326.642191886902
1675488187.0888798,59,34,24,58,35358.93192529678,58,5375.11123585701
1675488486.5765004,60,35,24,59,35630.65175175667,59,5400.330060005188
1675490656.1326613,61,36,24,60,37765.230754613876,60,5432.651087999344
1675491930.8991163,62,37,24,61,38933.831189870834,61,5536.0538418293
1675493245.4084442,63,37,25,62,40217.813836574554,62,5563.77093911171
1675493379.1857572,64,37,26,63,40322.583438158035,63,5589.950855255127
1675493519.3514783,65,37,27,64,40385.4931333065,64,5664.413160562515
1675493724.1270168,66,37,28,65,40473.129893541336,65,5778.783863067627
1675493822.5780745,67,37,29,66,40523.44673848152,66,5824.100907087326
1675494017.158155,68,37,30,67,40679.7181789875,67,5859.628692150116
1675494123.2190893,69,37,31,68,40730.32187008858,68,5912.056612730026
1675494287.2191813,70,37,32,69,40822.101726293564,69,5980.394619703293
1675495629.6467667,71,37,33,70,41560.154468774796,70,6582.024639368057
1675496604.6850066,72,37,34,71,41608.69989466667,71,7505.715610027313
1675497878.0855849,73,37,35,72,42788.29553127289,72,7596.70282292366
1675498048.5472374,74,38,35,73,42892.56175541878,73,7660.0081486701965
1675503034.9085546,75,39,35,74,47837.77978539467,74,7697.893215894699
1675504380.8659432,76,40,35,75,49041.881531238556,75,7835.34120631218
1675507574.32371,77,40,36,76,52204.61701416969,76,7863.017649888992
1675507698.3152812,78,40,37,77,52301.906235694885,77,7886.572866201401
1675507851.4480815,79,40,38,78,52423.02177786827,78,7915.537237644196
1675508552.9081862,80,40,39,79,52926.70433688164,79,8110.19722700119
1675509611.7906182,81,40,40,80,53937.316588163376,80,8155.386160850525
1675509704.8614936,82,40,41,81,54011.409046173096,81,8171.387198448181
1675510052.3264575,83,41,41,82,54332.967421770096,82,8194.089668750763
1675511672.3658104,84,41,42,83,55910.45732665062,83,8233.511864900589
1675513090.4904053,85,41,43,84,57279.79445934296,84,8279.136383771896
1675515279.5933013,86,41,44,85,59429.42860674858,85,8315.5054936409
1675515422.6151123,87,41,45,86,59533.500871658325,86,8351.377863645554
1675515696.9523616,88,41,46,87,59773.46188688278,87,8382.66324877739
1675516401.9515748,89,42,46,88,60439.87397527695,88,8417.975713968277
1675522000.761012,90,42,47,89,65984.16953229904,89,8469.311287641525
1675522454.1460927,91,42,48,90,66151.45741581917,90,8752.188194036484
1675522664.1287587,92,42,49,91,66319.52057027817,91,8790.884234428406
1675523221.9834452,93,43,49,92,66773.47686743736,92,8891.428212404251
1675524406.9251204,94,43,50,93,67652.73167014122,93,9193.825488567352
1675524732.4048629,95,43,51,94,67850.95081996918,94,9317.75018787384
1675525091.778292,96,43,52,95,68185.65595531464,95,9339.17472243309
1675525251.5175579,97,43,53,96,68317.159958601,96,9364.078359365463
1675525841.3737752,98,43,54,97,68550.83952784538,97,9716.958324670792
