timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675536692.1140916,1,0,0,0,0,0,0,0,0
1675536711.070696,2,1,0,1,0.011157751083374023,3,18.676146507263184,0,0
1675536752.0996623,3,2,0,2,21.953603744506836,12,37.41197490692139,0,0
1675536776.8517945,4,3,0,3,34.90247559547424,15,48.90894412994385,0,0
1675536846.7125518,5,4,0,4,78.27012825012207,18,75.02927589416504,0,0
1675536900.394682,6,5,0,5,115.02398180961609,21,91.46844029426575,0,0
1675536971.353193,7,6,0,6,184.95867800712585,24,91.88978481292725,0,0
1675537194.9558825,8,7,0,7,385.78550601005554,33,113.85083103179932,0,0
1675537308.6114533,9,8,0,8,474.4233913421631,42,138.07967138290405,0,0
1675537468.3780951,10,9,0,9,617.4884493350983,45,153.97398900985718,0,0
1675537592.2064755,11,9,0,10,740.8327205181122,45,153.97398900985718,0,0
