timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675536692.0100412,1,0,0,0,0,0,0
1675536712.391806,2,1,0,1,0.01166224479675293,13,19.971899032592773
1675536744.9638584,3,2,0,2,0.01890730857849121,24,51.969990730285645
1675536868.4800463,4,3,0,3,0.02549123764038086,37,174.82203912734985
1675536890.9157236,5,4,0,4,0.03273177146911621,50,196.48219203948975
1675537037.781761,6,5,0,5,0.039421796798706055,70,342.4014160633087
1675537298.4123466,7,6,0,6,0.04679560661315918,90,602.0387969017029
1675537340.8601205,8,7,0,7,0.05561256408691406,94,643.8009414672852
1675537342.8497658,9,8,0,8,0.06076335906982422,104,645.0705609321594
1675537366.5049758,10,9,0,9,0.0885629653930664,117,667.8565018177032
1675537391.486291,11,10,0,10,0.11581087112426758,136,691.8439512252808
1675537433.2486296,12,11,0,11,0.12428998947143555,156,732.5533282756805
1675537455.6477594,13,12,0,12,0.13190484046936035,176,753.8327548503876
1675537475.4712152,14,13,0,13,0.14028620719909668,187,772.4939661026001
1675537487.9652066,15,14,0,14,0.14752674102783203,198,783.6927034854889
1675537513.5299537,16,15,0,15,0.15786981582641602,202,807.9633915424347
1675537540.0654955,17,16,0,16,0.16611385345458984,206,833.1929612159729
1675537570.0229006,18,17,0,17,0.2255418300628662,210,861.5730707645416
1675537593.7912774,19,17,1,18,0.24500203132629395,212,883.2720854282379
