timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675536691.8958461,1,0,0,0,0,0,0
1675536731.7044284,2,1,0,1,0.011162281036376953,13,39.41307020187378
1675536773.2557878,3,2,0,2,0.02016758918762207,33,80.36037921905518
1675536809.0622568,4,3,0,3,0.02678990364074707,40,115.54635262489319
1675536834.7352464,5,4,0,4,0.03548741340637207,47,140.40156269073486
1675536836.6647265,6,5,0,5,0.048288822174072266,51,141.52261066436768
1675536839.177217,7,6,0,6,0.05675983428955078,55,143.12888169288635
1675536925.1210203,8,7,0,7,0.07861614227294922,59,228.14036965370178
1675536944.4498763,9,8,0,8,0.08865690231323242,78,246.71895122528076
1675537338.0699275,10,9,0,9,0.09460711479187012,98,639.4338102340698
1675537367.7297366,11,10,0,10,0.10096931457519531,105,668.1983933448792
1675537384.1599765,12,11,0,11,0.10839533805847168,124,683.6622800827026
1675537415.4406075,13,12,0,12,0.13340163230895996,144,713.8570423126221
1675537430.8363996,14,13,0,13,0.14323854446411133,157,728.1602997779846
1675537466.978987,15,14,0,14,0.16527986526489258,161,763.1623818874359
1675537510.1843033,16,15,0,15,0.17689132690429688,168,805.1048080921173
