timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675536691.803658,1,0,0,0,0,0,0,0,0
1675536696.942345,2,1,0,1,0.007780790328979492,9,4.904138803482056,0,0
1675536765.905281,3,2,0,2,56.75762128829956,19,16.81446862220764,0,0
1675536810.3684125,4,3,0,3,89.60042715072632,22,28.10565161705017,0,0
1675536823.1249964,5,4,0,4,91.95714449882507,31,38.11276459693909,0,0
1675537017.0666313,6,5,0,5,283.5855333805084,40,39.95390820503235,0,0
1675537194.8543558,7,6,0,6,448.0578820705414,43,52.72620892524719,0,0
1675537244.8019822,8,7,0,7,454.12047600746155,44,62.85721731185913,4,32.970038414001465
1675537291.437995,9,8,0,8,479.72629165649414,53,82.95282077789307,4,32.970038414001465
1675537371.4434085,10,9,0,9,557.1589078903198,56,84.80639863014221,4,32.970038414001465
1675537481.2153404,11,10,0,10,663.8047902584076,65,87.1261842250824,4,32.970038414001465
1675537583.9136558,12,10,0,11,765.9008111953735,65,87.1261842250824,4,32.970038414001465
