timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675536692.0645385,1,0,0,0,0,0,0
1675536731.414414,2,1,0,1,0.011308670043945312,1,39.128145694732666
1675536754.6769288,3,2,0,2,0.01964259147644043,2,62.087321519851685
1675536827.6774118,4,3,0,3,0.025125741958618164,3,134.65556049346924
1675536862.0267699,5,4,0,4,0.08245158195495605,4,168.18438911437988
1675536899.3987463,6,4,1,5,0.12717723846435547,5,204.81036567687988
1675536913.5461938,7,5,1,6,0.13457465171813965,6,218.30028414726257
1675536914.5971408,8,6,1,7,0.14887619018554688,7,218.73329067230225
1675536915.4269474,9,7,1,8,0.15785002708435059,8,218.86634135246277
1675536964.4494786,10,8,1,9,0.17100095748901367,9,267.0785458087921
1675536986.9208796,11,9,1,10,0.18922758102416992,10,288.58198738098145
1675537007.1400096,12,10,1,11,0.20009994506835938,11,307.7941861152649
1675537008.3651018,13,11,1,12,0.211151123046875,12,307.96333599090576
1675537023.1323965,14,12,1,13,0.23655462265014648,13,321.54816198349
1675537064.0760868,15,13,1,14,0.2609384059906006,14,361.16106057167053
1675537094.947298,16,14,1,15,0.2874178886413574,15,390.69236850738525
1675537096.4102967,17,15,1,16,0.3062584400177002,16,390.74687218666077
1675537106.3881984,18,16,1,17,0.341825008392334,17,399.22438764572144
1675537129.4182317,19,17,1,18,0.3899345397949219,18,420.11005568504333
1675537131.7502944,20,18,1,19,0.4146296977996826,19,420.1830344200134
1675537193.8802998,21,19,1,20,0.44798898696899414,20,479.52785205841064
1675537221.5433326,22,20,1,21,0.5179367065429688,21,505.27863335609436
1675537594.4503078,23,20,2,22,0.6005558967590332,22,876.2543301582336
