timestamp,iterations,solutions,solver_checks,solver_time
1675455413.5134673,1,0,0,0
1675477873.0605388,2,0,1,22459.54350090027
1675484850.5885673,3,1,2,29437.048901319504
1675487168.0711007,4,2,3,31754.51596927643
1675488317.5578167,5,3,4,32903.978110075
1675488366.9797559,6,4,5,32953.38009142876
1675489487.441159,7,5,6,34073.822337150574
1675489965.5945017,8,6,10,34551.95323038101
1675490263.7088256,9,7,30,34849.955800294876
1675490319.8672643,10,8,31,34906.09610056877
1675490352.4236,11,9,32,34938.632739543915
1675490434.633924,12,10,66,35020.78950834274
1675490511.2935762,13,11,69,35097.429260492325
1675490574.0404925,14,12,70,35160.15974831581
1675490656.547445,15,13,71,35242.64844059944
1675490797.8074968,16,14,106,35383.85500216484
1675490841.6458035,17,15,107,35427.675753593445
1675490897.8496406,18,16,108,35483.86701178551
1675490980.9458492,19,17,109,35566.945254564285
1675491255.1309896,20,18,153,35841.018392562866
1675491368.5727384,21,19,154,35954.445065021515
1675491851.468847,22,20,155,36437.325734853745
1675492132.7531812,23,21,156,36718.59498000145
1675492294.5111454,24,22,200,36880.22564315796
1675492604.995399,25,23,201,37190.69755363464
1675493176.9900699,26,24,202,37762.67903804779
1675493263.998166,27,25,203,37849.67227435112
1675493346.291903,28,26,204,37931.95155453682
1675494337.881486,29,27,230,38923.436168670654
1675494703.8579476,30,28,246,39289.36934757233
1675509852.836552,31,29,272,54438.01350402832
1675510942.096949,32,30,273,55527.26504325867
1675511492.6896434,33,31,274,56077.84547543526
1675511560.93558,34,32,275,56146.08230471611
1675511633.8683455,35,33,276,56219.00594377518
1675511676.4251914,36,34,277,56261.55378437042
1675511731.8739522,37,35,295,56316.9786772728
1675512028.7120588,38,36,327,56613.76977157593
1675537645.4905088,39,37,350,82230.2792365551
