timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675455413.9988282,1,0,0,0,0,0,0
1675455494.3994598,2,1,0,1,0.012674570083618164,4,79.90253901481628
1675455536.9380846,3,2,0,2,1.8845107555389404,11,119.86532163619995
1675455789.8950126,4,3,0,3,5.957690238952637,24,367.870197057724
1675456902.1091087,5,4,0,4,17.16231107711792,37,1467.641527414322
1675457022.3269482,6,5,0,5,43.76957392692566,44,1559.8668177127838
1675457050.440975,7,6,0,6,68.94722199440002,48,1561.325129032135
1675457149.8891466,8,7,0,7,93.2629759311676,60,1634.7214868068695
1675457235.513491,9,8,0,8,130.82151460647583,80,1680.7960636615753
1675457359.0483875,10,9,0,9,171.98009324073792,99,1760.9717197418213
1675457550.0526578,11,10,0,10,242.6273124217987,103,1879.0059146881104
1675458151.5132465,12,11,0,11,363.8978991508484,123,2356.6675856113434
1675458237.6823277,13,12,0,12,398.64320278167725,133,2406.12823677063
1675458356.2019806,14,13,0,13,479.2273247241974,137,2441.4250066280365
1675458885.0561361,15,14,0,14,580.9509105682373,157,2866.22754073143
1675459182.1996684,16,15,0,15,725.8232848644257,161,3015.177150249481
1675459330.5130768,17,16,0,16,840.2506897449493,165,3045.5323185920715
1675459524.0628674,18,17,0,17,992.3121299743652,172,3083.163996219635
1675460152.3873646,19,18,0,18,1170.2534782886505,185,3529.4608459472656
1675460542.0220084,20,19,0,19,1303.0936813354492,189,3782.085800409317
1675460883.5518453,21,20,0,20,1482.4189457893372,208,3940.0743482112885
1675461158.5986817,22,21,0,21,1703.425547361374,215,3990.8598494529724
1675461513.5862553,23,22,0,22,1934.3400750160217,228,4109.9484050273895
1675464063.061086,24,23,0,23,2059.652848958969,241,6529.067437648773
1675464726.4896655,25,24,0,24,2252.057307958603,251,6996.692688941956
1675466198.0478754,26,25,0,25,2507.2123160362244,271,8209.382880210876
1675466867.5522778,27,26,0,26,2871.41597032547,290,8508.662603616714
1675467201.3377886,28,26,1,27,3163.7531192302704,292,8544.572332382202
1675467474.3776765,29,26,2,28,3227.5553543567657,294,8748.119275569916
1675467902.9833841,30,27,2,29,3288.391179084778,307,9109.821515321732
1675468106.6996315,31,28,2,30,3459.274082183838,314,9136.368696928024
1675468501.858946,32,29,2,31,3759.840007543564,333,9224.309221029282
1675468907.7892783,33,29,3,32,4072.689525127411,335,9311.144634723663
1675469491.8193383,34,30,3,33,4168.8735864162445,348,9792.413456916809
1675469881.6078196,35,30,4,34,4482.119265079498,350,9862.43424654007
1675469993.7570388,36,31,4,35,4519.564452886581,354,9930.29597568512
