timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675455414.5013402,1,0,0,0,0,0,0,0,0
1675455428.5848484,2,1,0,1,0.012572050094604492,3,13.674948930740356,0,0
1675455459.2439785,3,2,0,2,1.9067480564117432,6,41.81516671180725,0,0
1675455489.6386223,4,3,0,3,18.317758321762085,9,55.03483486175537,0,0
1675455527.9366467,5,4,0,4,38.12812328338623,14,72.60948300361633,0,0
1675455653.05815,6,5,0,5,103.04467821121216,23,131.57956051826477,0,0
1675455775.463908,7,6,0,6,209.75343418121338,30,145.92602443695068,0,0
1675455912.441569,8,7,0,7,324.87997555732727,39,166.26816391944885,0,0
1675456072.5598085,9,8,0,8,394.27658557891846,47,255.28042340278625,0,0
1675456298.760328,10,9,0,9,607.445398569107,50,266.3329179286957,0,0
1675456492.6890674,11,10,0,10,780.1507647037506,53,285.4697353839874,0,0
1675456803.3479514,12,11,0,11,1086.283352613449,62,287.61803245544434,0,0
1675457084.5071986,13,12,0,12,1346.3997781276703,71,306.16817569732666,0,0
1675457803.1584566,14,13,0,13,2021.4223940372467,74,347.12654399871826,0,0
1675458173.5445757,15,14,0,14,2386.5731229782104,83,349.69875264167786,0,0
1675458414.306702,16,15,0,15,2599.7637095451355,92,375.37030148506165,0,0
1675458756.8589754,17,16,0,16,2902.976626634598,101,412.4158511161804,0,0
1675459344.9443624,18,17,0,17,3143.220123052597,102,436.4073073863983,7,319.9909884929657
1675459841.239235,19,18,0,18,3302.0664558410645,103,449.03541588783264,11,640.658308506012
1675460150.0074434,20,19,0,19,3595.1861793994904,106,460.5774435997009,11,640.658308506012
1675460400.9002354,21,20,0,20,3830.2968361377716,109,472.2757258415222,11,640.658308506012
1675460724.9123836,22,21,0,21,4135.747619152069,112,486.4889738559723,11,640.658308506012
1675461006.7750993,23,22,0,22,4395.096858263016,121,504.71902775764465,11,640.658308506012
1675463419.3690555,24,23,0,23,4756.941722393036,122,520.6482412815094,24,2672.1534645557404
1675464375.511756,25,24,0,24,5315.533401489258,123,541.5504970550537,34,3045.047683954239
1675466461.9738533,26,25,0,25,6018.456972837448,124,565.694916009903,53,4398.731325864792
1675467033.4468071,27,25,1,26,6490.596588611603,125,603.6342303752899,55,4454.653453588486
1675467398.9570754,28,26,1,27,6764.935826778412,134,689.3487043380737,55,4454.653453588486
1675468087.7726862,29,26,2,28,7331.793509721756,135,709.5359890460968,57,4550.790635347366
1675468221.3722148,30,26,3,29,7367.2594130039215,136,744.6834046840668,59,4608.223896741867
1675468296.460239,31,27,3,30,7419.767110824585,139,761.6943924427032,59,4608.223896741867
1675469496.426688,32,28,3,31,8182.818791627884,140,788.4104557037354,78,5012.387450218201
1675470219.417647,33,29,3,32,8884.537860393524,143,803.7171759605408,78,5012.387450218201
1675472238.1934714,34,29,4,33,10567.029681444168,144,829.208240032196,80,5316.936391353607
1675472437.4786756,35,29,5,34,10597.988092422485,145,843.8851566314697,82,5464.296089410782
1675472663.347507,36,30,5,35,10761.64935016632,146,857.0909187793732,95,5509.195639133453
1675472985.1224592,37,31,5,36,11066.667219877243,149,869.7568206787109,95,5509.195639133453
1675473236.229457,38,32,5,37,11256.022206306458,150,892.5072066783905,105,5543.818394422531
1675473512.6419656,39,33,5,38,11506.86915564537,153,913.7202703952789,105,5543.818394422531
1675473912.3954775,40,33,6,39,11841.768121480942,154,927.7572374343872,107,5590.292434453964
1675474003.4298677,41,34,6,40,11876.4731194973,155,940.087296962738,111,5629.641582489014
1675474447.3786001,42,34,7,41,12195.76442694664,156,967.0450985431671,113,5722.47908616066
1675474553.1760933,43,35,7,42,12280.049735546112,159,981.5002012252808,113,5722.47908616066
1675475055.1539505,44,36,7,43,12771.033766269684,168,985.2861633300781,113,5722.47908616066
1675475816.9293709,45,37,7,44,13497.639796257019,171,1013.1490442752838,113,5722.47908616066
1675476656.8387623,46,37,8,45,14245.412712812424,172,1036.4120166301727,115,5784.069174289703
1675476788.8241553,47,38,8,46,14318.615121364594,173,1061.5113425254822,134,5812.402780056
1675477234.7661996,48,39,8,47,14647.65501499176,174,1095.6048266887665,138,5889.62938952446
1675477903.7717602,49,40,8,48,15239.07815361023,177,1165.1352181434631,138,5889.62938952446
1675478359.2975242,50,41,8,49,15658.513104200363,186,1192.8557479381561,138,5889.62938952446
