timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675455432.8153598,1,0,0,0,0,0,0
1675455451.1016507,2,1,0,1,0.01140594482421875,1,18.05105686187744
1675455483.873075,3,2,0,2,2.281996250152588,2,48.2157347202301
1675455519.711504,4,3,0,3,15.664963960647583,3,70.25372242927551
1675455563.2321622,5,4,0,4,37.239123582839966,4,91.62271523475647
1675455622.7003474,6,5,0,5,65.5083658695221,5,122.18811345100403
1675455671.4660716,7,6,0,6,113.29063630104065,6,122.4487898349762
1675455775.6797376,8,7,0,7,189.63845777511597,7,149.44713473320007
1675455912.7382998,9,8,0,8,260.20443296432495,8,215.00602459907532
1675456055.993893,10,9,0,9,323.5148434638977,9,293.8986575603485
1675456139.5073876,11,10,0,10,392.1147871017456,10,307.763943195343
1675456251.2532647,12,11,0,11,451.8823552131653,11,358.8954932689667
1675456519.9254925,13,12,0,12,635.1489059925079,12,443.0289053916931
1675456687.3768272,14,12,1,13,734.8826637268066,13,509.3814034461975
1675456737.0047572,15,12,2,14,756.2646338939667,14,536.6615245342255
1675456763.2472079,16,13,2,15,765.5662858486176,15,552.1097192764282
1675456856.3759823,17,14,2,16,829.272322177887,16,579.9630970954895
1675456954.4346232,18,15,2,17,899.3551378250122,17,606.6789908409119
1675457060.4048276,19,16,2,18,958.2455084323883,18,652.034038066864
1675457197.3820956,20,17,2,19,1093.8051948547363,19,652.2423930168152
1675457416.2620075,21,18,2,20,1310.8143694400787,20,652.8264837265015
1675457554.5390863,22,18,2,21,1448.0281083583832,20,652.8264837265015
