timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675455432.8864844,1,0,0,0,0,0,0
1675455442.8561444,2,1,0,1,0.01201629638671875,1,9.736343622207642
1675455504.969702,3,2,0,2,0.4147937297821045,2,71.20372557640076
1675455542.4534457,4,3,0,3,2.6896400451660156,3,106.04422664642334
1675455623.5486684,5,4,0,4,4.762457370758057,4,184.60647892951965
1675455663.4350524,6,5,0,5,7.855384588241577,5,220.84457349777222
1675455683.7541456,7,6,0,6,12.747225761413574,6,235.66310024261475
1675455719.1881952,8,7,0,7,16.53944754600525,7,266.6031656265259
1675455759.4616885,9,8,0,8,25.16475200653076,8,297.45241689682007
1675455797.842727,10,9,0,9,37.937647104263306,9,322.19233560562134
1675455847.3649118,11,9,1,10,44.619662046432495,10,364.1332767009735
1675455924.618937,12,10,1,11,46.29781889915466,11,438.16459798812866
1675456036.6085086,13,11,1,12,62.87911367416382,12,531.8086988925934
1675456097.8061001,14,12,1,13,90.74253129959106,13,563.4247283935547
1675456203.5898838,15,13,1,14,104.96694326400757,14,653.746443271637
1675456445.2005992,16,13,2,15,118.63087224960327,15,880.485597372055
1675456512.0757594,17,14,2,16,120.5825080871582,16,944.081324338913
1675456574.0514565,18,15,2,17,149.25768947601318,17,975.909170627594
1675456635.6839259,19,16,2,18,197.9137258529663,18,987.3010914325714
1675456708.7209392,20,17,2,19,222.10149931907654,19,1034.4648780822754
1675456767.269404,21,18,2,20,251.52809596061707,20,1061.8400764465332
1675456800.8955986,22,19,2,21,264.1639521121979,21,1081.1065037250519
1675456893.7533166,23,20,2,22,298.8518798351288,22,1137.3852987289429
1675456990.7026536,24,21,2,23,374.0926012992859,23,1156.7854232788086
1675457207.5363095,25,22,2,24,426.9338912963867,24,1317.657628774643
1675457329.3666222,26,23,2,25,526.5185286998749,25,1336.5634973049164
1675457384.5799308,27,24,2,26,578.2217905521393,26,1336.6740605831146
1675457533.5733488,28,25,2,27,633.7634968757629,27,1426.723358631134
1675457558.7676308,29,25,2,28,656.9816086292267,27,1426.723358631134
