timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675455432.8322768,1,0,0,0,0,0,0
1675455622.0273905,2,1,0,1,0.011309146881103516,13,188.89381909370422
1675455781.9207048,3,2,0,2,0.09859013557434082,32,348.15905117988586
1675455816.706188,4,3,0,3,0.6782021522521973,39,381.8065538406372
1675455860.5062969,5,4,0,4,0.984194278717041,46,424.8387887477875
1675455994.8166852,6,5,0,5,1.4335715770721436,50,558.0243000984192
1675456046.6777961,7,6,0,6,1.915292501449585,63,608.451758146286
1675456195.2571778,8,7,0,7,2.041574716567993,80,756.1840317249298
1675456208.6683366,9,8,0,8,3.256058692932129,84,767.5507032871246
1675456252.5535674,10,9,0,9,4.413771629333496,91,809.2765417098999
1675456330.889341,11,10,0,10,5.9807448387146,104,884.5270245075226
1675456371.6820397,12,11,0,11,8.264819622039795,117,921.3666355609894
1675456429.9665625,13,11,1,12,10.057471990585327,119,976.3178720474243
1675456478.9651024,14,12,1,13,11.553894996643066,123,1021.9938213825226
1675456523.575659,15,13,1,14,14.768227815628052,142,1061.5337164402008
1675456777.8981767,16,13,2,15,15.925501823425293,144,1313.4944777488708
1675457969.3179054,17,14,2,16,19.298161268234253,157,2499.9945089817047
1675458325.0234861,18,15,2,17,27.180359601974487,170,2846.334321975708
1675458328.6958256,19,15,2,18,29.035624980926514,170,2846.334321975708
