timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675455432.8291857,1,0,0,0,0,0,0,0,0
1675455440.523731,2,1,0,1,0.007294654846191406,3,7.487776279449463,0,0
1675455448.6262863,3,2,0,2,2.3034098148345947,6,12.995857000350952,0,0
1675455462.4315357,4,3,0,3,7.324798345565796,9,21.42124366760254,0,0
1675455478.7327113,5,4,0,4,10.439550876617432,12,34.121718406677246,0,0
1675455519.8211703,6,5,0,5,23.044736623764038,15,62.05462384223938,0,0
1675455547.70026,7,6,0,6,41.69987773895264,24,70.55899667739868,0,0
1675455638.6125839,8,7,0,7,100.2156252861023,27,102.09243988990784,0,0
1675455823.6219015,9,7,1,8,122.5019519329071,28,122.7819721698761,2,140.82018566131592
1675455852.1740704,10,8,1,9,139.53436470031738,37,133.05177807807922,2,140.82018566131592
1675455876.053072,11,9,1,10,153.85274124145508,40,141.2940230369568,2,140.82018566131592
1675455917.8143423,12,10,1,11,184.06171488761902,43,151.82930636405945,2,140.82018566131592
1675456000.986385,13,11,1,12,219.08749723434448,51,198.8201253414154,2,140.82018566131592
1675456127.9062734,14,11,2,13,259.58857917785645,52,218.705664396286,4,206.15778040885925
1675456152.8930285,15,12,2,14,263.88068652153015,55,237.7282841205597,4,206.15778040885925
1675456209.5394888,16,13,2,15,302.0902302265167,58,254.32561039924622,4,206.15778040885925
1675456294.9090123,17,14,2,16,357.5545518398285,59,268.4882526397705,8,219.92993021011353
1675456337.144439,18,15,2,17,391.31162095069885,68,275.6018385887146,8,219.92993021011353
1675456431.9864268,19,16,2,18,464.6749768257141,77,295.60775876045227,8,219.92993021011353
1675456511.5290015,20,17,2,19,532.7586760520935,80,305.3319528102875,8,219.92993021011353
1675456581.3133647,21,18,2,20,585.9487135410309,89,319.363050699234,8,219.92993021011353
1675456671.8575983,22,19,2,21,629.819454908371,90,335.81531262397766,12,247.30693554878235
1675456745.1861887,23,20,2,22,658.284585237503,99,377.9238381385803,12,247.30693554878235
1675456763.640065,24,20,2,23,675.2238726615906,99,377.9238381385803,12,247.30693554878235
