,Gen__coeff_c_f_S_f_0,Gen__coeff_c_f_S_f_1,Gen__coeff_c_f_S_f_2,Gen__coeff_c_f_S_f_3,Gen__const_c_f
0,1,0,0,-1,0
0,1,0,-1,0,3/2
0,3/2,-1/2,1/2,-3/2,0
0,1,1/2,0,-3/2,0
0,1,0,1/2,-3/2,2
0,3/2,0,0,-3/2,3/2
0,1/2,1,0,-3/2,3/2
0,3/2,0,-3/2,0,3/2
0,1,1/2,-3/2,0,1/2
0,1,1,-2,0,1/2
0,1,1/2,-1/2,-1,1/2
0,2,-1/2,-3/2,0,1
0,2,-1,-1,0,1
0,3/2,-1/2,0,-1,0
0,1,0,-1/2,-1/2,0
0,2,-1/2,-1,-1/2,1/2
0,3/2,-1/2,-1,0,1/2
0,3/2,1/2,-2,0,1/2
0,2,0,-2,0,-1/2
0,2,-1,-1/2,-1/2,3/2
0,1/2,3/2,-1/2,-3/2,2
0,3/2,1/2,-3/2,-1/2,1
0,3/2,0,-1/2,-1,1
0,3/2,0,-1,-1/2,3/2
0,3/2,-1/2,-1/2,-1/2,1
0,1/2,1,1/2,-2,3/2
0,1,0,1,-2,2
0,1/2,3/2,-1,-1,2
0,1,1,-1,-1,0
0,2,-1,0,-1,0
0,1,1/2,-1,-1/2,0
0,1,1,-3/2,-1/2,0
