timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675973936.4572005,1,0,0,0,0,0,0
1675978686.7070363,25,24,0,24,532.7445349693298,285,14557.187570810318
1675978806.0381634,26,25,0,25,593.4714431762695,303,14612.771283864975
1675978956.2725737,27,26,0,26,615.7498898506165,316,14737.559807300568
1675979065.7626188,28,27,0,27,651.0126087665558,329,14808.496716499329
1675980595.9203644,29,28,0,28,734.89209151268,342,16251.250043153763
1675980791.7907994,30,29,0,29,846.8431966304779,355,16331.582279920578
1675981222.6873531,31,30,0,30,937.4636459350586,368,16668.289413928986
1675981392.7967744,32,31,0,31,1027.508855342865,375,16744.668962955475
1675981741.188393,33,32,0,32,1249.2013244628906,394,16867.442724704742
1675981849.82764,34,33,0,33,1316.6626813411713,407,16904.563962459564
1675982179.8903067,35,34,0,34,1572.1895778179169,420,16974.99729657173
1675982686.8962495,36,35,0,35,2055.695989370346,433,16994.178812503815
1675982768.233341,37,36,0,36,2091.9901852607727,440,17034.94361925125
1675982985.4091768,38,37,0,37,2232.036808013916,444,17106.2790453434
1675983475.8534155,39,38,0,38,2358.539635181427,455,17465.501054286957
1675984405.8483694,40,39,0,39,3219.305712223053,462,17529.971297502518
1675984539.9371986,41,40,0,40,3304.9657809734344,476,17573.41692662239
1675984917.6465535,42,41,0,41,3612.571010351181,489,17638.540660858154
1675985505.3887575,43,42,0,42,4157.236613512039,502,17676.459602594376
1675985771.8876123,44,43,0,43,4374.018906354904,509,17720.960383176804
1675986262.1558905,45,44,0,44,4746.344826698303,513,17833.529585838318
1675986439.130435,46,45,0,45,4884.78079867363,517,17866.58746433258
1675986977.7332447,47,46,0,46,5385.81706237793,531,17898.578274965286
1675987467.340254,48,47,0,47,5825.799387216568,544,17942.582383155823
1675987857.0384796,49,48,0,48,6024.194808483124,557,18127.939925432205
1675988224.0334594,50,49,0,49,6242.205411434174,561,18270.978216171265
1675988412.096238,51,50,0,50,6356.965101242065,574,18338.10477256775
1675988987.335958,52,51,0,51,6897.341582775116,578,18366.800395965576
1675989303.4501176,53,52,0,52,7150.727491855621,591,18422.94459295273
1675989623.9613905,54,53,0,53,7400.202412605286,604,18487.439091444016
1675992122.7651045,55,54,0,54,7909.536265611649,617,20470.288615226746
1675992494.446582,56,55,0,55,8233.517414331436,627,20511.206840753555
1675992728.7876756,57,56,0,56,8428.49773979187,634,20543.731487751007
1675992941.6243734,58,57,0,57,8562.339575529099,647,20615.953830242157
1675993126.3777177,59,58,0,58,8712.978000164032,654,20642.980263710022
1675993668.3249774,60,59,0,59,9116.856403827667,673,20773.79002928734
1675994098.1214736,61,60,0,60,9511.967616558075,684,20801.07467365265
1676003196.4626942,62,61,0,61,11935.919415473938,697,27467.966405391693
1676003515.565679,63,62,0,62,12084.166213989258,710,27631.17163324356
1676003734.7251532,64,63,0,63,12221.10278224945,717,27705.780441761017
1676004363.4078066,65,64,0,64,12666.586377859116,731,27881.08766222
1676006106.110649,66,65,0,65,13150.790686130524,741,29131.197696447372
1676006626.6841164,67,66,0,66,13599.041148662567,760,29195.067700624466
1676007090.1207752,68,67,0,67,13917.627019882202,779,29331.39390563965
1676008171.452649,69,68,0,68,14937.933062791824,798,29383.35844063759
1676011546.865643,70,69,0,69,18276.538276195526,802,29411.53701734543
1676013659.5242245,71,70,0,70,20313.483946800232,806,29478.24712228775
1676015011.2799356,72,71,0,71,21607.748977422714,813,29526.75322151184
1676015638.5804112,73,72,0,72,22196.973324775696,821,29555.79856967926
1676016495.8381093,74,73,0,73,22976.327246665955,834,29624.26177430153
1676017188.9330297,75,74,0,74,23364.59263896942,845,29918.989199638367
1676017843.9570243,76,75,0,75,23957.997165441513,858,29970.82669568062
1676018218.8909671,77,76,0,76,24255.366086483,871,30038.42120051384
1676021354.8599193,78,77,0,77,27337.306799650192,885,30082.55735373497
1676026582.8428202,79,78,0,78,32500.254602909088,904,30137.590462446213
1676027638.1591728,80,79,0,79,33449.24043941498,923,30233.636313676834
1676029275.7881708,81,80,0,80,35016.96764111519,942,30293.06693005562
1676030478.5456605,82,81,0,81,36113.365200042725,955,30388.992920160294
1676034351.2136338,83,82,0,82,39844.38528370857,968,30519.764603853226
1676037861.122316,84,83,0,83,43246.0530230999,981,30617.219779014587
1676041208.2892551,85,84,0,84,45127.91466546059,988,32071.536583662033
1676042228.7042754,86,85,0,85,46026.34999585152,1001,32182.18236374855
