timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675974008.545249,1,0,0,0,0,0,0
1675974072.924998,2,1,0,1,0.00918889045715332,1,64.19625163078308
1675974093.0631526,3,2,0,2,0.015822172164916992,2,84.0967423915863
1675974190.3822575,4,3,0,3,0.023799896240234375,3,181.08003616333008
1675974492.2831693,5,4,0,4,0.04219460487365723,4,482.5752658843994
1675974528.7076092,6,5,0,5,0.0871419906616211,5,518.3243176937103
1675974572.2570853,7,6,0,6,0.10553359985351562,6,561.3460142612457
1675974572.9407747,8,7,0,7,0.11902666091918945,7,561.4432604312897
1675974614.4438746,9,8,0,8,0.1289522647857666,8,602.2908403873444
1675974669.024559,10,9,0,9,0.14534425735473633,9,656.1252632141113
1675974720.5865567,11,10,0,10,0.17921733856201172,10,706.8528997898102
1675974748.1246066,12,11,0,11,0.21886897087097168,11,733.4891662597656
1675974749.5542586,13,12,0,12,0.2410283088684082,12,733.9753396511078
1675974750.9308126,14,13,0,13,0.2693474292755127,13,734.3128216266632
1675974781.0924242,15,14,0,14,0.4218916893005371,14,763.2155175209045
1675974804.8679419,16,15,0,15,0.4990878105163574,15,785.7718479633331
1675975279.8336983,17,16,0,16,0.5325229167938232,16,1259.459227323532
1675975363.6494298,18,17,0,17,0.5698001384735107,17,1341.9284918308258
1675975454.7930071,19,18,0,18,0.5976564884185791,18,1431.6636567115784
1675975863.76096,20,19,0,19,0.6321752071380615,19,1839.1391534805298
1675976035.5007486,21,20,0,20,0.6591160297393799,20,2009.2610812187195
1675976341.8778155,22,21,0,21,0.6898040771484375,21,2313.9672558307648
1675976376.8608348,23,22,0,22,0.7200708389282227,22,2347.219491481781
1675976378.8914058,24,23,0,23,0.7795956134796143,23,2347.5054457187653
1675976397.2116258,25,24,0,24,0.8225617408752441,24,2364.036762237549
1675976417.364021,26,25,0,25,0.8713235855102539,25,2382.3261511325836
1675976459.4679837,27,26,0,26,0.9574666023254395,26,2422.444703102112
1675976494.147042,28,27,0,27,1.0075156688690186,27,2455.0238869190216
1675976611.882265,29,28,0,28,1.0331647396087646,28,2570.6220877170563
1675976643.4972067,30,29,0,29,1.093421220779419,29,2599.931594848633
1675976787.8715913,31,30,0,30,1.242072343826294,30,2741.9473555088043
1675976823.7941,32,31,0,31,1.3753550052642822,31,2775.3221299648285
1675976856.7451997,33,32,0,32,1.518279790878296,32,2805.510589838028
1675976859.5465631,34,33,0,33,1.5885145664215088,33,2805.799755334854
1675976914.094773,35,34,0,34,1.672818899154663,34,2857.7183871269226
1675976944.9493291,36,35,0,35,1.7775201797485352,35,2885.7650039196014
1675976963.682049,37,36,0,36,2.025053024291992,36,2901.5666630268097
1675976992.0969348,38,37,0,37,2.48893666267395,37,2926.4464797973633
1675977036.58222,39,38,0,38,2.7995736598968506,38,2967.6197934150696
1675977055.856764,40,39,0,39,2.94291353225708,39,2983.604053258896
1675977087.6027677,41,40,0,40,3.068650960922241,40,3012.166205406189
1675977135.8085356,42,41,0,41,3.183699369430542,41,3056.756867170334
1675977182.6040123,43,42,0,42,3.3251144886016846,42,3100.1045949459076
1675977210.5029469,44,43,0,43,3.5694315433502197,43,3124.314690351486
1675977243.4129024,45,44,0,44,3.6583492755889893,44,3153.5298726558685
1675977276.658135,46,45,0,45,3.8141133785247803,45,3183.2572288513184
1675977298.8964546,47,46,0,46,4.18411660194397,46,3201.68391084671
1675977359.8864732,48,47,0,47,4.891369819641113,47,3258.4041998386383
1675977428.2168803,49,48,0,48,5.235408067703247,48,3322.5092675685883
1675977433.8664455,50,49,0,49,5.299525260925293,49,3324.142899751663
1675977438.3384771,51,50,0,50,5.424166679382324,50,3324.473382949829
1675977443.3646877,52,51,0,51,5.560856342315674,51,3324.785690307617
1675977448.3273368,53,52,0,52,5.635439395904541,52,3324.999311685562
1675977453.6057343,54,53,0,53,5.699076175689697,53,3325.677093029022
1675977458.5808,55,54,0,54,5.806896924972534,54,3326.0930807590485
1675977463.3724868,56,55,0,55,5.901949167251587,55,3326.3193559646606
1675977468.160233,57,56,0,56,6.090098857879639,56,3326.481869697571
1675977473.1120255,58,57,0,57,6.212193965911865,57,3326.670073747635
1675977562.6619186,59,58,0,58,6.394534349441528,58,3411.4284801483154
1675977594.264398,60,59,0,59,6.603761434555054,59,3437.990789413452
1675977599.4090078,61,60,0,60,6.743743181228638,60,3438.2000312805176
1675977631.8319123,62,61,0,61,6.8742780685424805,61,3465.4974658489227
1675977697.2500741,63,62,0,62,6.977002382278442,62,3525.810755252838
1675977793.3742914,64,63,0,63,7.261687517166138,63,3616.474732875824
1675977800.5353796,65,64,0,64,7.407175779342651,64,3618.2228639125824
1675977806.4276898,66,65,0,65,7.495338439941406,65,3618.7985877990723
1675977812.3748043,67,66,0,66,7.617473363876343,66,3619.1884512901306
1675977821.8661911,68,67,0,67,7.793344497680664,67,3622.9155831336975
1675977857.3998196,69,68,0,68,7.984948635101318,68,3652.8959534168243
