timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675974010.1643426,1,0,0,0,0,0,0,0,0
1675974026.286871,2,1,0,1,0.012848138809204102,9,15.855813980102539,0,0
1675974615.0805056,3,2,0,2,512.8605062961578,18,91.48607683181763,0,0
1675974833.7833157,4,3,0,3,711.5554301738739,28,111.13978600502014,0,0
1675976826.9979389,5,4,0,4,2700.031497001648,37,115.48224568367004,0,0
1675982503.8316503,6,5,0,5,8349.657542705536,46,142.15017652511597,0,0
1675994546.1653454,7,6,0,6,19683.99748802185,47,166.92979907989502,13,682.4836118221283
1676009377.6268575,8,7,0,7,34495.968564748764,56,185.70974588394165,13,682.4836118221283
1676054552.1111016,9,8,0,8,79634.97738146782,65,220.27432084083557,13,682.4836118221283
1676055346.7961364,10,9,0,9,80388.5966975689,74,260.40971398353577,13,682.4836118221283
1676092448.1314197,11,10,0,10,117449.87658429146,83,299.4015805721283,13,682.4836118221283
1676142874.8725772,12,11,0,11,167856.04422712326,92,318.83609342575073,13,682.4836118221283
1676238320.844485,13,12,0,12,263286.59606194496,101,332.8946113586426,13,682.4836118221283
1676243433.3721972,14,13,0,13,268375.30462408066,104,355.2865102291107,13,682.4836118221283
1676258583.7283673,15,14,0,14,283501.5055165291,113,377.9665997028351,13,682.4836118221283
1676376868.995879,16,15,0,15,401739.9208276272,116,423.2020721435547,13,682.4836118221283
1676408651.2762594,17,16,0,16,432991.7165682316,117,454.4922547340393,32,1179.6198635101318
