timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675974009.79178,1,0,0,0,0,0,0
1675974070.845293,2,1,0,1,0.008281469345092773,1,60.857484579086304
1675974092.62445,3,2,0,2,0.17765545845031738,2,82.19408130645752
1675974107.683383,4,3,0,3,0.8652908802032471,3,96.21397137641907
1675974477.325737,5,4,0,4,1.458805799484253,4,464.7858204841614
1675974696.5601528,6,5,0,5,4.169339179992676,5,680.7073781490326
1675974782.5077188,7,6,0,6,6.700595378875732,6,763.4559209346771
1675974825.9418864,8,7,0,7,10.724684953689575,7,802.049512386322
1675974903.7805932,9,8,0,8,14.484914302825928,8,875.2249591350555
1675974923.5593708,10,9,0,9,16.724974155426025,9,891.8152735233307
1675974966.4781928,11,10,0,10,25.515647649765015,10,924.8895063400269
1675974981.0180178,12,11,0,11,26.651294946670532,11,937.0867068767548
1675975030.5039773,13,12,0,12,42.172823429107666,12,969.7425878047943
1675975096.1747139,14,13,0,13,53.88953924179077,13,1022.3521864414215
1675975212.0077956,15,14,0,14,75.89580821990967,14,1114.6819534301758
1675975267.4319334,16,15,0,15,111.96246528625488,15,1132.385265827179
1675975309.375969,17,16,0,16,131.51401948928833,16,1153.1422328948975
1675975431.8639534,18,17,0,17,166.42976641654968,17,1238.9403140544891
1675975515.9584508,19,18,0,18,197.14534211158752,18,1290.450962305069
1675976289.664186,20,19,0,19,218.04581880569458,19,2041.3219788074493
1675976338.5282428,21,20,0,20,245.23930430412292,20,2060.858290910721
1675976384.7745616,22,20,1,21,260.371346950531,21,2089.9400551319122
1675976422.8011682,23,20,2,22,262.50233006477356,22,2123.7774777412415
1675976638.074414,24,20,3,23,264.6343984603882,23,2334.790625810623
1675976689.7712708,25,20,4,24,266.7293348312378,24,2382.2756357192993
1675976745.3418252,26,20,5,25,268.86707305908203,25,2433.566082715988
1675976819.6039937,27,20,6,26,270.9842174053192,26,2503.659945011139
1675976847.7306743,28,20,7,27,273.2521858215332,27,2527.3781337738037
1675976899.1329844,29,20,8,28,275.38392424583435,28,2574.5845441818237
1675976919.6578643,30,20,9,29,277.56211018562317,29,2590.897547006607
1675976938.0437603,31,20,10,30,279.67600679397583,30,2605.161556005478
1675977013.3144035,32,20,11,31,281.77777194976807,31,2676.280868768692
1675977045.779926,33,20,12,32,283.92683935165405,32,2704.5211141109467
1675977085.8099773,34,20,13,33,286.0736930370331,33,2740.272950410843
1675977155.4013305,35,20,14,34,288.29411816596985,34,2805.5599658489227
1675977186.2825816,36,21,14,35,291.4950053691864,35,2831.020473241806
1675977513.37248,37,22,14,36,345.65774512290955,36,3101.688530921936
1675977734.2971654,38,23,14,37,402.8068084716797,37,3262.8819983005524
1675977791.1032703,39,24,14,38,414.7685794830322,38,3305.2868151664734
1675977853.2338696,40,25,14,39,458.16258430480957,39,3321.495582342148
1675978011.263674,41,26,14,40,579.943300485611,40,3354.99236035347
1675978154.8644767,42,27,14,41,697.8225531578064,41,3377.853776216507
1675978296.3133886,43,28,14,42,752.9597790241241,42,3461.3167741298676
1675978528.1143856,44,29,14,43,846.6003408432007,43,3596.535556077957
1675978997.3099966,45,30,14,44,913.7667009830475,44,3995.297434568405
1675980633.7397628,46,31,14,45,1266.4525880813599,45,5275.808648109436
1675980773.5332868,47,32,14,46,1378.9606323242188,46,5299.843626260757
1675980952.2888486,48,33,14,47,1514.310695886612,47,5339.792547225952
1675981267.0793338,49,34,14,48,1808.6327996253967,48,5356.803943872452
1675981728.6005886,50,34,15,49,1955.753181695938,49,5667.6804485321045
1675982270.8147926,51,34,16,50,1964.7724752426147,50,6197.283141613007
1675982535.106046,52,34,17,51,1970.3626384735107,51,6452.430721282959
1675982582.52563,53,34,18,52,1975.1725351810455,52,6491.474777460098
1675983528.586701,54,34,19,53,1980.116159439087,53,7428.897813081741
1675983582.0027578,55,34,20,54,1985.1032614707947,54,7473.67410492897
1675983618.2048745,56,35,20,55,1996.5798218250275,55,7494.824948549271
1675983868.1166244,57,36,20,56,2123.6806428432465,56,7613.97527885437
1675984057.5202644,58,37,20,57,2269.6400916576385,57,7653.628818511963
1675984319.318638,59,38,20,58,2498.728981256485,58,7682.458646059036
1675984430.0788264,60,39,20,59,2581.383781671524,59,7706.513033151627
1675984572.5448873,61,40,20,60,2629.70569396019,60,7796.462932109833
1675984788.596019,62,41,20,61,2810.775740623474,61,7827.210986375809
1675984985.4598281,63,42,20,62,2984.875218153,62,7845.666941165924
1675985507.637113,64,43,20,63,3201.6047008037567,63,8146.569853305817
1675985961.5068529,65,44,20,64,3280.348466157913,64,8517.023305177689
1675986424.7859914,66,45,20,65,3715.227079153061,65,8540.65365076065
1675986623.2221491,67,46,20,66,3848.311038017273,66,8601.330695867538
1675987184.7200236,68,47,20,67,3972.659241437912,67,9033.61809015274
1675987505.8314378,69,48,20,68,4150.2792246341705,68,9172.021032810211
1675988004.2022576,70,49,20,69,4263.413823366165,69,9551.86938714981
1675988334.1662192,71,50,20,70,4550.991035461426,70,9589.051335811615
1675988617.9418285,72,51,20,71,4806.980988502502,71,9611.372900485992
1675989250.5229044,73,52,20,72,5402.040456533432,72,9643.33773946762
1675989470.3858545,74,53,20,73,5581.63228559494,73,9677.824108362198
1675992385.145972,75,54,20,74,8451.200521469116,74,9717.22328710556
1675993468.360288,76,55,20,75,9492.629291534424,75,9753.197168588638
1675994138.0497293,77,56,20,76,10107.465792179108,76,9802.023444652557
1675995937.8823416,78,57,20,77,11686.536412477493,77,10016.591888904572
1675996934.9604075,79,58,20,78,12450.39430642128,78,10243.671807527542
1676002589.709734,80,59,20,79,14779.548873186111,79,13562.915039539337
