timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675974009.9235096,1,0,0,0,0,0,0
1675974224.912199,2,1,0,1,0.008205413818359375,13,214.7230031490326
1675974345.6834755,3,2,0,2,0.3506014347076416,26,334.7241575717926
1675974482.5750566,4,3,0,3,1.5829973220825195,36,469.9350497722626
1675976161.22751,5,4,0,4,2.4528136253356934,49,2147.134392261505
1675976211.745199,6,5,0,5,5.244758367538452,62,2194.2187168598175
1675976238.748254,7,6,0,6,7.404849529266357,75,2218.2639179229736
1675976265.0512288,8,7,0,7,12.407855033874512,85,2238.620366334915
1675976499.302384,9,8,0,8,19.371508836746216,104,2464.914937734604
1675976538.829162,10,9,0,9,29.00161600112915,117,2493.760937690735
1675976601.8335,11,10,0,10,46.64649796485901,135,2537.9470410346985
1675976934.1534505,12,11,0,11,53.87762260437012,139,2861.815063714981
1675977239.3453817,13,12,0,12,57.0667040348053,158,3162.448264360428
1675977580.2374265,14,13,0,13,67.83796906471252,171,3491.111093521118
1675977662.060286,15,14,0,14,79.08054089546204,181,3560.117618083954
1675979557.5160758,16,15,0,15,129.00930833816528,200,5403.873890638351
1675979861.2627149,17,16,0,16,138.56682515144348,219,5696.272039175034
1675979985.939889,18,17,0,17,208.32142519950867,223,5749.288379192352
1675980045.923142,19,18,0,18,237.8632128238678,236,5777.690576314926
1675980143.8512604,20,19,0,19,265.5448422431946,249,5845.889002799988
1675980271.1073482,21,20,0,20,312.0595602989197,262,5924.3573706150055
1675980451.152821,22,21,0,21,356.61979579925537,281,6057.479335308075
1675980615.8868322,23,22,0,22,477.30589389801025,288,6099.136549472809
1675980685.3193276,24,23,0,23,490.7310378551483,298,6152.641979455948
1675980856.0115364,25,24,0,24,531.1836984157562,311,6280.345898628235
1675980940.9843614,26,25,0,25,575.1329352855682,325,6318.5772659778595
1675981178.2823439,27,26,0,26,685.9430201053619,332,6442.322869539261
1675982364.1840441,28,27,0,27,849.5237593650818,345,7461.75462269783
1675982474.1572335,29,28,0,28,873.0307130813599,357,7545.21875166893
1675982536.1103077,30,29,0,29,910.3630268573761,370,7566.646052598953
1675983888.9468057,31,30,0,30,965.833746433258,383,8860.807281255722
1675984361.3339386,32,31,0,31,1195.6228849887848,390,9099.997823476791
1675984502.5393376,33,32,0,32,1301.9242434501648,403,9131.47573184967
1675985827.5236866,34,33,0,33,1425.712821483612,423,10328.918970823288
1675986389.4337623,35,34,0,34,1796.2004075050354,433,10516.730676412582
1675986527.201254,36,35,0,35,1863.0892069339752,440,10583.743077516556
1675986881.663723,37,36,0,36,2102.4385981559753,453,10695.051285505295
1675987074.8758745,38,37,0,37,2144.3496923446655,465,10842.372193336487
1675987337.203107,39,38,0,38,2368.157954931259,472,10876.46573472023
1675988371.5999472,40,39,0,39,2589.5847957134247,491,11684.709969997406
1675988548.0932121,41,40,0,40,2691.963904619217,501,11754.319213867188
1675988844.0463078,42,41,0,41,2796.984011888504,514,11940.778836965561
1675989164.278539,43,41,1,42,3028.6677465438843,516,12024.757173538208
1675989207.5031884,44,41,2,43,3038.9057598114014,518,12053.284266471863
1675989586.9009972,45,41,3,44,3049.4964396953583,520,12417.290777683258
1675989635.7301178,46,41,4,45,3059.671067714691,522,12451.274040460587
1675989708.6679087,47,41,5,46,3069.9899513721466,524,12509.119095802307
1675989765.7694259,48,41,6,47,3080.215882062912,526,12551.369778633118
1675990154.2164738,49,41,7,48,3090.5433735847473,528,12924.56607890129
1675990214.6829066,50,41,8,49,3100.547888994217,530,12970.49033498764
1675990280.9451225,51,42,8,50,3115.728580713272,544,13016.974481344223
1675990684.832389,52,43,8,51,3475.169967651367,564,13056.8092315197
1675991057.4230936,53,44,8,52,3806.262223005295,583,13093.500149726868
1675991840.585711,54,45,8,53,4467.388816833496,602,13210.6743516922
1675992384.9226391,55,46,8,54,4682.887933731079,621,13534.52863907814
1675994238.415008,56,47,8,55,4944.212344884872,640,15121.576460123062
1676002605.0732677,57,48,8,56,5089.527677536011,653,23337.689861297607
1676002915.723206,58,48,9,57,5183.987934112549,655,23548.706057310104
1676002964.3619528,59,48,10,58,5191.611622333527,657,23584.30446958542
1676003071.9941914,60,48,11,59,5199.729066610336,659,23678.35054731369
1676003365.451109,61,48,12,60,5214.581644296646,661,23951.224036455154
1676003577.387789,62,49,12,61,5373.221561908722,668,23998.874027729034
1676006383.363695,63,50,12,62,5711.684013605118,687,26460.855626106262
1676007669.433669,64,51,12,63,6892.564875125885,700,26560.174281597137
1676008871.7581828,65,52,12,64,7908.826452255249,707,26740.35225200653
1676008980.275555,66,53,12,65,7960.6199378967285,724,26790.96786594391
1676010261.4324038,67,54,12,66,9197.131994962692,734,26829.564214468002
