timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675974010.769719,1,0,0,0,0,0,0,0,0
1675974022.8073518,2,1,0,1,0.008476972579956055,3,11.80392575263977,0,0
1675974033.4169116,3,2,0,2,2.3678181171417236,6,19.7344069480896,0,0
1675974047.349843,4,3,0,3,10.009116649627686,13,25.591383934020996,0,0
1675974082.3714893,5,4,0,4,37.19046378135681,16,32.88783288002014,0,0
1675974134.719289,6,5,0,5,81.31597781181335,19,40.45898222923279,0,0
1675974194.6535108,7,6,0,6,130.07139921188354,28,50.878540992736816,0,0
1675974218.712863,8,7,0,7,145.4712746143341,31,58.6702196598053,0,0
1675974304.7949753,9,8,0,8,184.56744933128357,34,104.64509224891663,0,0
1675974429.5773542,10,9,0,9,223.0451626777649,43,189.79975485801697,0,0
1675974623.9694948,11,10,0,10,406.04796504974365,52,200.0907392501831,0,0
1675974781.041527,12,11,0,11,541.5117075443268,55,220.48421835899353,0,0
1675975054.4091907,13,12,0,12,795.660847902298,58,238.38480257987976,0,0
1675975279.5316546,14,13,0,13,994.8835871219635,67,262.8135974407196,0,0
1675975439.330045,15,14,0,14,1108.3151545524597,77,307.5943281650543,0,0
1675975585.646828,16,15,0,15,1239.636744260788,86,320.86877727508545,0,0
1675975826.710553,17,16,0,16,1460.3737201690674,95,339.4510233402252,0,0
1675976114.4960313,18,17,0,17,1732.354036808014,104,353.4086470603943,0,0
1675976236.8864732,19,18,0,18,1846.3578753471375,113,359.35339879989624,0,0
1675977116.9552355,20,19,0,19,2387.796955347061,114,385.67693734169006,4,310.20221495628357
1675977504.9627984,21,20,0,20,2717.2643430233,123,442.02498149871826,4,310.20221495628357
1675978225.2366006,22,21,0,21,3422.4901497364044,132,454.6273765563965,4,310.20221495628357
1675978952.0177104,23,22,0,22,4130.890120983124,141,470.59693694114685,4,310.20221495628357
1675979600.067454,24,23,0,23,4556.9799790382385,150,690.1462750434875,4,310.20221495628357
1675980666.7836995,25,24,0,24,5595.698939800262,159,715.6443583965302,4,310.20221495628357
1675981345.2152994,26,25,0,25,6258.391701459885,168,728.6977910995483,4,310.20221495628357
1675981908.3596928,27,26,0,26,6749.28337597847,169,750.0607991218567,23,358.092609167099
1675983999.500491,28,27,0,27,8828.82213640213,178,758.7584028244019,23,358.092609167099
1675987910.876461,29,28,0,28,10011.81255531311,179,829.2490005493164,33,3012.8319001197815
1675988193.7783587,30,29,0,29,10206.665476560593,188,914.0429706573486,33,3012.8319001197815
1675989675.726475,31,30,0,30,11677.278169631958,191,922.1611018180847,33,3012.8319001197815
1675991476.3939335,32,31,0,31,13361.9759516716,200,1034.7742705345154,33,3012.8319001197815
1675992774.8012805,33,32,0,32,14640.495139837265,203,1051.2565155029297,33,3012.8319001197815
1675994156.1219144,34,33,0,33,16002.176681756973,212,1067.3780481815338,33,3012.8319001197815
1675995906.644921,35,34,0,34,17735.5399889946,215,1080.8774478435516,33,3012.8319001197815
1675997097.6434898,36,35,0,35,18900.88365316391,224,1102.7777380943298,33,3012.8319001197815
1676001589.5764542,37,36,0,36,22902.20527791977,225,1240.2133090496063,46,3362.000755548477
1676004261.8727984,38,37,0,37,25450.208422899246,233,1360.359430551529,46,3362.000755548477
1676008198.3007154,39,38,0,38,29366.8663854599,242,1375.8125965595245,46,3362.000755548477
1676011552.9771538,40,39,0,39,32696.7956700325,251,1396.3795857429504,46,3362.000755548477
1676014702.8815613,41,40,0,40,35823.09655094147,260,1415.6968710422516,46,3362.000755548477
1676015014.311116,42,40,1,41,36091.57177686691,261,1429.171621799469,48,3386.9893267154694
1676015163.8702493,43,40,2,42,36125.929233789444,262,1437.7422316074371,50,3489.274353981018
1676015374.2022731,44,40,3,43,36158.31599473953,263,1447.9677419662476,52,3652.450136423111
1676015657.8266745,45,40,4,44,36189.998651981354,264,1477.4047403335571,54,3870.544159412384
1676017941.4929006,46,41,4,45,38113.647794008255,265,1645.6642625331879,67,4057.4734756946564
1676021842.4824276,47,42,4,46,41941.867413282394,266,1668.9527444839478,71,4102.094695568085
1676023162.9572186,48,43,4,47,43243.6339404583,269,1682.932858467102,71,4102.094695568085
1676026942.293016,49,44,4,48,46996.88405036926,272,1704.2302808761597,71,4102.094695568085
1676027309.1810756,50,45,4,49,47203.743556022644,273,1767.812386751175,75,4193.580221891403
1676027999.034311,51,46,4,50,47877.477506399155,276,1779.0569314956665,75,4193.580221891403
1676031652.9969625,52,47,4,51,51508.79325628281,284,1796.7647504806519,75,4193.580221891403
1676035937.8387296,53,48,4,52,55716.38637256622,293,1868.628360748291,75,4193.580221891403
1676045154.304596,54,48,5,53,64615.150317668915,294,1882.01105594635,77,4492.65069103241
1676047587.6868804,55,48,6,54,66960.5893008709,295,1904.9856646060944,79,4552.138017654419
1676047798.3666778,56,48,7,55,67006.8366189003,296,1913.5896708965302,81,4702.73326253891
1676047923.615867,57,48,8,56,67062.490858078,297,1948.2861766815186,83,4732.366924524307
1676048062.345394,58,48,9,57,67106.0014872551,298,1963.482605934143,85,4807.290021181107
1676048503.8456469,59,48,10,58,67153.35606813431,299,1978.948742866516,87,5180.743040084839
1676048615.9293423,60,48,11,59,67202.94585442543,300,2005.2435920238495,89,5211.517469882965
1676048705.0226605,61,48,12,60,67252.62913823128,301,2018.4402000904083,91,5232.39595580101
