timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675969977.9994893,1,0,0,0,0,0,0,0,0
1675970024.018247,2,1,0,1,0.007747650146484375,9,45.73720049858093,0,0
1675970344.7547288,3,2,0,2,51.913901567459106,19,314.1204903125763,0,0
1675971062.3633692,4,3,0,3,656.6140983104706,22,426.58465456962585,0,0
1675971291.6700768,5,4,0,4,829.4077293872833,31,482.54353404045105,0,0
1675971614.1479988,6,5,0,5,1111.7470965385437,34,522.0791757106781,0,0
1675973174.2159626,7,6,0,6,2644.659500837326,37,548.5457134246826,0,0
1675975312.601569,8,7,0,7,4704.126888036728,46,626.5995879173279,0,0
1675991084.0775201,9,8,0,8,20380.778774023056,49,720.4704232215881,0,0
1676056359.7448025,10,9,0,9,85645.93016004562,59,729.7709650993347,0,0
1676336453.6612434,11,10,0,10,365537.3812417984,68,930.8013784885406,0,0
1676482427.3899024,12,11,0,11,511225.1442029476,78,1215.1176891326904,0,0
1676563327.8804555,13,12,0,12,591971.4141337872,81,1367.6711421012878,0,0
