timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675969977.817084,1,0,0,0,0,0,0
1675970181.2846022,2,1,0,1,0.008049726486206055,1,203.2130265235901
1675970280.4991136,3,2,0,2,0.4880502223968506,2,301.5950803756714
1675970442.280844,4,3,0,3,2.0321807861328125,3,461.3141152858734
1675970514.8493476,5,4,0,4,3.6776413917541504,4,531.5817215442657
1675971359.7570047,6,5,0,5,9.0478036403656,5,1370.324738740921
1675971401.9543064,7,6,0,6,16.927143812179565,6,1403.774560213089
1675971488.1126714,8,7,0,7,19.857598543167114,7,1485.9207575321198
1675972290.4216754,9,8,0,8,22.293979167938232,8,2284.6436908245087
1675972366.6610126,10,9,0,9,32.36537194252014,9,2349.5201709270477
1675972483.7864604,11,10,0,10,54.49188542366028,10,2443.0512866973877
1675972646.2687175,12,11,0,11,70.57641434669495,11,2587.7574791908264
1675972898.511057,13,12,0,12,87.07626485824585,12,2821.8350167274475
1675973083.2263856,14,13,0,13,183.60692596435547,13,2908.1413984298706
1675973685.1706312,15,14,0,14,256.3902246952057,14,3435.1900806427
1675974572.1317573,16,15,0,15,294.7186436653137,15,4281.652985334396
1675974952.474155,17,16,0,16,430.02052330970764,16,4524.332452297211
1675975166.554402,18,17,0,17,535.0696051120758,17,4630.873466968536
1675975240.7258992,19,18,0,18,606.0373363494873,18,4631.403457164764
1675975572.0156822,20,19,0,19,655.6210379600525,19,4910.314821720123
1675975850.4330049,21,20,0,20,675.8531231880188,20,5165.603268146515
1675976115.0101392,22,21,0,21,726.511962890625,21,5376.447494506836
1675976391.311832,23,22,0,22,778.0039627552032,22,5597.965591669083
1675976911.135357,24,23,0,23,900.0199337005615,23,5991.944823980331
1675977309.1199362,25,24,0,24,1004.5999414920807,24,6281.864626169205
1675978222.1334736,26,25,0,25,1730.4074635505676,25,6465.403268575668
1675978443.6465254,27,26,0,26,1800.0781886577606,26,6613.338874340057
1675978628.2953324,28,27,0,27,1906.00026679039,27,6688.153729438782
1675978893.905312,29,28,0,28,2104.4646496772766,28,6751.198718547821
1675979464.2834687,30,29,0,29,2574.200606584549,29,6847.43895983696
1675981509.5540082,31,30,0,30,3401.5120911598206,30,8060.900545835495
1675982015.0920963,32,31,0,31,3770.7043159008026,31,8192.490108013153
1675982500.9071245,33,32,0,32,4107.402544260025,32,8336.925964593887
1675983294.2354684,34,33,0,33,4734.191841602325,33,8498.459334850311
1675984876.976489,35,34,0,34,6188.505806922913,34,8621.837062597275
1675985376.8117561,36,35,0,35,6607.532344341278,35,8697.274720430374
1675986190.652162,37,36,0,36,7269.811536312103,36,8843.45602107048
1675986766.201314,38,37,0,37,7428.710130691528,37,9254.568877458572
1675988218.218636,39,38,0,38,8612.293633460999,38,9517.177914381027
1675988838.141981,40,39,0,39,9121.271651029587,39,9622.232698917389
1675992407.836998,41,40,0,40,12598.846417188644,40,9708.123744726181
1675993437.9827945,42,41,0,41,13394.395255327225,41,9936.53326010704
1675994634.68895,43,42,0,42,14509.800518512726,42,10011.597121715546
1675995555.5796185,44,43,0,43,15304.160764455795,43,10131.623529195786
1675997345.8343909,45,44,0,44,16079.34652018547,44,11140.150123357773
1676000958.2606392,46,45,0,45,19585.401399612427,45,11239.739021778107
1676002156.5288208,47,46,0,46,20623.683772563934,46,11392.840975999832
1676003610.3673315,48,47,0,47,21949.170273303986,47,11514.136523485184
1676006943.3358614,49,48,0,48,25187.26660966873,48,11601.540385723114
1676011124.2816463,50,49,0,49,29307.40302491188,49,11654.649014234543
1676012774.649011,51,50,0,50,30393.552354335785,50,12210.908938646317
1676014418.9844122,52,51,0,51,31936.479003190994,51,12304.180673599243
1676020856.4500704,53,52,0,52,38257.74684023857,52,12412.100943088531
1676021989.3176517,54,53,0,53,38910.869159936905,53,12883.464368581772
1676022802.989432,55,54,0,54,39389.29472208023,54,13210.34509396553
1676023212.8411727,56,55,0,55,39755.99442124367,55,13244.990806102753
1676035229.3691876,57,56,0,56,51474.900399684906,56,13534.004693031311
1676045325.401435,58,57,0,57,61455.17904019356,57,13640.524202823639
1676047177.9844217,59,58,0,58,63227.246569633484,58,13711.565184354782
1676056513.9987056,60,59,0,59,72475.53206539154,59,13789.66701412201
1676060536.7994928,61,60,0,60,76359.23929309845,60,13918.910578727722
1676082208.2032235,62,61,0,61,97698.92179703712,61,14240.94113612175
1676085991.7505417,63,62,0,62,101369.6618566513,62,14343.240981340408
1676100383.1447377,64,63,0,63,115702.59482431412,63,14391.211121797562
1676105566.9757202,65,64,0,64,120778.60013127327,64,14488.90212392807
1676136853.088559,66,65,0,65,151861.21408939362,65,14681.612615823746
1676158994.740243,67,66,0,66,173887.22765779495,66,14786.427644968033
1676174214.4973955,68,67,0,67,188321.25929951668,67,15561.063987731934
1676201987.2578688,69,68,0,68,216005.2632009983,68,15638.290250778198
1676237267.8252988,70,69,0,69,250579.2292637825,69,16333.120288610458
1676257642.6163657,71,70,0,70,270392.4163119793,70,16882.622049808502
1676278615.0706253,72,71,0,71,291276.01651239395,71,16959.48778820038
1676288488.6949522,73,72,0,72,300919.7287032604,72,17177.297495126724
1676327935.3508034,74,73,0,73,340353.6783747673,73,17178.183898687363
1676346785.7460938,75,74,0,74,357508.75261712074,74,18861.137897014618
1676367984.4210043,76,75,0,75,378561.93108034134,75,18993.87204360962
1676396477.5859308,77,76,0,76,406412.62252163887,76,19622.797684431076
1676399607.604046,78,77,0,77,409397.13166189194,77,19754.5650036335
1676430807.853545,79,78,0,78,440582.8370668888,78,19755.180311203003
1676438337.0639846,80,79,0,79,447364.5193939209,79,20489.21484041214
1676444930.087547,81,80,0,80,453734.3405714035,80,20698.442807674408
