timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675969977.7338374,1,0,0,0,0,0,0
1675970195.1689649,2,1,0,1,0.007868289947509766,13,217.11387395858765
1675970290.787725,3,2,0,2,0.5430920124053955,20,311.7800896167755
1675970606.1279738,4,3,0,3,1.9681298732757568,39,625.0480878353119
1675970753.022218,5,4,0,4,2.930948257446289,49,770.2144155502319
1675970915.8400886,6,5,0,5,6.245666742324829,53,928.8827478885651
1675971011.9800165,7,6,0,6,13.814055681228638,73,1016.3551983833313
1675971115.1125844,8,7,0,7,18.10425305366516,87,1114.0006177425385
1675971312.633413,9,8,0,8,26.81183433532715,98,1301.4933378696442
1675971365.4591827,10,9,0,9,40.452841997146606,102,1339.3338875770569
1675971568.8371727,11,10,0,10,55.688671827316284,113,1525.8794226646423
1675971752.611546,12,11,0,11,84.86456084251404,132,1678.743068933487
1675972404.0821636,13,12,0,12,150.74599409103394,139,2262.534686088562
1675972586.440168,14,13,0,13,172.71479845046997,149,2421.0443007946014
1675973291.2411826,15,14,0,14,221.48538184165955,156,3075.0547103881836
1675973826.8242314,16,15,0,15,378.59024477005005,169,3451.363079547882
1675974465.757915,17,16,0,16,516.6533541679382,183,3949.6674757003784
1675974675.554192,18,17,0,17,604.5617823600769,197,4068.7463562488556
1675975773.429955,19,18,0,18,634.3594901561737,210,5134.0528309345245
1675976069.0522144,20,19,0,19,783.8674228191376,217,5277.231045484543
1675978893.9790037,21,20,0,20,835.8060548305511,230,8047.198565006256
1675979771.4660068,22,21,0,21,1008.767452955246,244,8748.306899547577
1675980974.4996972,23,22,0,22,1232.2378404140472,257,9724.50228524208
1675981129.2550907,24,23,0,23,1259.2225728034973,270,9847.866779327393
1675982286.023479,25,24,0,24,1852.5056538581848,283,10407.327239274979
1675982606.6320598,26,25,0,25,1914.8111684322357,290,10661.881810188293
1675983980.3153574,27,26,0,26,2061.539271593094,303,11884.852006435394
1675986199.9128315,28,27,0,27,2147.6205067634583,316,14014.294041395187
1675986610.0302978,29,28,0,28,2294.6469836235046,329,14273.214323759079
1675987381.3435612,30,29,0,29,2855.780774831772,342,14478.996877193451
1675987726.2494829,31,30,0,30,3109.4691982269287,356,14565.635876893997
1675988421.5463858,32,31,0,31,3557.251526117325,366,14808.51356625557
1675989221.0908453,33,32,0,32,4024.223759174347,385,15136.003386735916
1675990029.4617856,34,33,0,33,4610.880088806152,389,15352.32085108757
1675991335.762513,35,34,0,34,5444.053934335709,396,15820.341027498245
1675993695.1048324,36,35,0,35,6040.538136482239,415,17577.906432151794
1675996495.9041955,37,36,0,36,7759.375893115997,435,18654.01269006729
1675997205.661141,38,37,0,37,8334.16322684288,448,18783.181557416916
1675999836.2123523,39,38,0,38,10244.448016405106,452,19497.652554750443
1676000023.5612128,40,39,0,39,10357.172659397125,465,19566.376611948013
1676000915.1039636,41,40,0,40,11166.88620376587,472,19642.22555756569
1676001659.3365397,42,41,0,41,11673.593181848526,486,19873.366706609726
1676003965.8020084,43,42,0,42,13118.572917938232,493,20728.42938375473
1676005339.8540595,44,43,0,43,14478.041041851044,502,20736.367294073105
1676006033.23581,45,44,0,44,15084.515263080597,522,20816.412501335144
1676008195.0587108,46,45,0,45,15736.234180927277,535,22319.776724100113
1676009057.108844,47,46,0,46,16232.227237939835,554,22678.79106283188
1676010549.0317845,48,47,0,47,17543.752860546112,558,22851.9171397686
1676014338.2357757,49,48,0,48,21148.872428655624,571,23028.44951248169
1676018120.7159758,50,49,0,49,24411.75840306282,591,23540.350836992264
1676020367.627808,51,50,0,50,26560.00862455368,604,23630.742622613907
1676024291.3502772,52,51,0,51,29560.962244272232,618,24545.578181028366
1676024920.8067026,53,52,0,52,30021.891177654266,637,24705.974019527435
1676028161.5063958,54,53,0,53,33064.31170940399,644,24896.265061855316
1676031800.548716,55,54,0,54,36458.81250834465,657,25132.608625888824
1676033034.217432,56,55,0,55,37551.17095589638,670,25265.278383255005
1676035795.1191154,57,56,0,56,38032.63190984726,690,27535.45788526535
1676229115.8264592,58,57,0,57,41891.60690808296,703,216988.56214380264
1676230213.7143867,59,58,0,58,42544.55203318596,722,217424.0088405609
1676233811.7150755,60,59,0,59,45894.87179517746,735,217661.95017313957
1676254072.3254778,61,60,0,60,55822.42596292496,748,227985.4308578968
1676263747.5915253,62,61,0,61,65348.07513141632,762,228125.21438884735
1676279334.196632,63,62,0,62,79289.99469184875,775,229759.76705861092
1676281605.0466385,64,63,0,63,81415.38330626488,794,229894.86643242836
1676283248.3885884,65,64,0,64,82898.40047836304,807,230043.80485224724
1676302177.5380692,66,65,0,65,101476.02548599243,818,230383.62960028648
1676305200.5242455,67,66,0,66,102181.02937150002,831,232690.21818995476
1676313869.1821327,68,67,0,67,110321.23415184021,850,233207.59691238403
1676425048.7582476,69,68,0,68,122557.43761730194,863,332139.76716661453
1676442381.803624,70,69,0,69,139710.80723023415,882,332307.4324698448
1676449652.5503578,71,70,0,70,140703.83504796028,895,338573.3835937977
1676474396.391394,72,71,0,71,164622.9454548359,908,339386.0874438286
1676478826.3865418,73,72,0,72,168867.25239539146,927,339559.3021261692
1676498704.0944917,74,73,0,73,187956.8932738304,946,340334.3067276478
1676507910.6045692,75,74,0,74,196442.6673221588,959,341042.9201478958
1676522065.9236424,76,75,0,75,210422.38525032997,966,341206.8715078831
1676523308.9560015,77,76,0,76,211353.268825531,985,341507.2419960499
1676528532.1271155,78,77,0,77,216477.07775855064,998,341594.36621689796
1676548459.695266,79,78,0,78,233898.48033690453,1017,344087.9291334152
1676561096.8555262,80,79,0,79,245270.28196406364,1037,345340.5566020012
