timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675538847.5138142,1,0,0,0,0,0,0
1675538878.9370832,2,1,0,1,0.009217023849487305,1,31.199398279190063
1675538917.5870142,3,2,0,2,1.5586810111999512,2,67.99247145652771
1675538937.7165067,4,3,0,3,5.9590654373168945,3,83.26816916465759
1675539007.7132933,5,4,0,4,11.832422018051147,4,146.81463742256165
1675539030.767149,6,5,0,5,18.63176941871643,5,162.3908452987671
1675539099.73439,7,6,0,6,28.939180850982666,6,220.18011689186096
1675539179.2022495,8,7,0,7,53.42655277252197,7,274.2203848361969
1675539290.779595,9,8,0,8,93.39341402053833,8,344.60533690452576
1675539548.1628919,10,9,0,9,141.97681856155396,9,552.1432197093964
1675539610.7286227,11,10,0,10,162.0721082687378,10,593.166360616684
1675539715.669622,12,11,0,11,208.00122332572937,11,649.9915287494659
1675539865.0282857,13,12,0,12,229.91985654830933,12,775.8735935688019
1675539983.9003942,14,13,0,13,320.14193630218506,13,802.7740416526794
1675540100.6618276,15,14,0,14,434.9519486427307,14,802.8624095916748
1675540263.599626,16,15,0,15,520.8871529102325,15,877.3631386756897
1675540399.7866523,17,16,0,16,600.6960320472717,16,931.7010264396667
1675540671.0050445,18,17,0,17,730.044201374054,17,1071.3393046855927
1675540806.6375306,19,18,0,18,863.3308944702148,18,1071.4575159549713
1675540941.5542114,20,19,0,19,949.6651530265808,19,1117.7395594120026
1675541073.7592037,21,20,0,20,1029.5100905895233,20,1167.614860534668
1675541249.5139232,22,21,0,21,1173.3726620674133,21,1196.9268596172333
1675541382.197297,23,22,0,22,1260.9034492969513,22,1239.2778930664062
1675541535.1073072,24,23,0,23,1373.6843745708466,23,1276.4375910758972
1675541681.556988,25,24,0,24,1476.724530696869,24,1316.9280700683594
1675541923.6333363,26,25,0,25,1691.913017988205,25,1340.6622033119202
1675542411.9501028,27,26,0,26,2141.7376618385315,26,1375.9321274757385
1675542860.1188138,28,27,0,27,2553.990562438965,27,1408.4254050254822
1675543145.2476935,29,28,0,28,2797.20819067955,28,1446.8500368595123
1675543417.2087944,30,29,0,29,3049.1769082546234,29,1463.3330681324005
1675543734.100758,31,30,0,30,3316.3698065280914,30,1509.3605589866638
1675543933.083348,32,31,0,31,3482.3857791423798,31,1538.556548833847
1675544365.1549547,33,32,0,32,3843.797253847122,32,1605.2499029636383
1675544696.1778176,34,33,0,33,4170.600142002106,33,1605.4271812438965
1675545112.768166,35,34,0,34,4506.819541215897,34,1681.6409215927124
1675545345.1117084,36,35,0,35,4658.09552359581,35,1758.3347971439362
1675545831.7346268,37,36,0,36,5109.2868683338165,36,1789.00479722023
1675546390.8735027,38,37,0,37,5617.18744468689,37,1835.31458902359
1675546839.8835292,39,38,0,38,6057.933174610138,38,1835.483848810196
1675547266.1143317,40,38,1,39,6432.592684030533,39,1880.9668533802032
1675547335.2186375,41,39,1,40,6480.9059047698975,40,1893.7126352787018
1675547774.8331704,42,40,1,41,6854.576607465744,41,1951.877173423767
1675548075.496491,43,41,1,42,7118.795980453491,42,1982.465612411499
