timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675538847.2009242,1,0,0,0,0,0,0
1675538922.8056343,2,1,0,1,0.00741124153137207,4,75.33731389045715
1675538974.6605508,3,2,0,2,0.4695701599121094,17,126.223064661026
1675539036.0934677,4,3,0,3,1.3869373798370361,24,186.05409002304077
1675539083.1246777,5,4,0,4,1.8606841564178467,31,231.9417200088501
1675539179.0774746,6,5,0,5,3.927851915359497,44,325.0601541996002
1675539234.0597274,7,6,0,6,7.030354738235474,58,375.82879400253296
1675539353.4321039,8,7,0,7,11.74965214729309,65,489.0683352947235
1675539385.9127345,9,8,0,8,18.32815718650818,72,513.9117679595947
1675539426.8001628,10,9,0,9,22.612021923065186,79,549.3478302955627
1675539466.7430103,11,10,0,10,24.916213750839233,92,585.5923089981079
1675539533.9104972,12,11,0,11,29.794498682022095,103,646.0579471588135
1675539608.1981246,13,12,0,12,42.50165557861328,122,705.0992999076843
1675540096.5121825,14,13,0,13,55.91480112075806,141,1177.4589850902557
1675540130.1297832,15,14,0,14,70.0154938697815,145,1194.1970341205597
1675540184.361208,16,15,0,15,75.49740600585938,158,1241.0793061256409
1675540318.457689,17,16,0,16,83.10124468803406,169,1365.4456131458282
1675540424.9123642,18,17,0,17,112.60978770256042,173,1439.313196182251
1675540485.198819,19,18,0,18,124.01083302497864,183,1485.9282772541046
1675540565.7821965,20,19,0,19,140.09792685508728,196,1548.0026457309723
1675541073.63396,21,20,0,20,168.06062078475952,207,2024.257672071457
1675541700.7635934,22,21,0,21,184.52475118637085,211,2632.4037396907806
1675541806.1692295,23,22,0,22,241.14010882377625,221,2678.53134560585
1675541903.6794584,24,23,0,23,258.72218680381775,225,2755.749240398407
1675541968.8037143,25,24,0,24,279.1528944969177,238,2797.5083632469177
1675542014.09624,26,25,0,25,293.59416818618774,257,2825.3397817611694
1675542101.6663468,27,26,0,26,313.9365544319153,270,2889.509736061096
1675542169.6764371,28,27,0,27,340.560751914978,283,2927.736794948578
1675542378.0525045,29,28,0,28,372.5881555080414,293,3100.722615480423
1675542528.3425922,30,29,0,29,439.21454215049744,297,3180.97115111351
1675542657.343978,31,30,0,30,447.5263292789459,304,3298.087061405182
1675542795.842119,32,31,0,31,507.08350133895874,317,3373.2993144989014
1675542898.882126,33,32,0,32,580.555650472641,324,3399.0525867938995
1675543272.9427295,34,33,0,33,621.5309052467346,328,3728.3083729743958
1675543345.8053753,35,33,1,34,670.4305250644684,330,3748.442129611969
1675543540.9311233,36,34,1,35,686.412250995636,343,3923.558381319046
1675543677.6981564,37,35,1,36,767.4112882614136,354,3975.0989820957184
1675543788.7863529,38,36,1,37,849.318660736084,358,4000.0368678569794
1675543901.5374343,39,37,1,38,872.1367201805115,362,4085.71390914917
1675545864.6902282,40,37,2,39,963.3714799880981,364,5953.309243917465
1675548459.7654283,41,38,2,40,992.9691395759583,377,8513.941873550415
1675548569.3061833,42,38,3,41,1062.9245853424072,379,8548.409353494644
1675548672.078125,43,39,3,42,1099.18661236763,392,8609.56194448471
1675549069.4211435,44,40,3,43,1151.7234959602356,412,8948.318082809448
1675549828.3218384,45,41,3,44,1201.4591255187988,430,9649.690007686615
1675550255.1533504,46,41,4,45,1289.6782252788544,432,9982.925427675247
1675550513.789042,47,41,5,46,1307.399743795395,434,10218.455473184586
1675550571.187004,48,41,6,47,1335.126847743988,436,10239.699365139008
1675550645.5503535,49,41,7,48,1355.898831129074,438,10287.707847833633
1675550817.4059784,50,42,7,49,1373.863998413086,442,10435.981852293015
1675550961.715742,51,43,7,50,1450.2274515628815,461,10497.591195583344
