timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675826847.0339592,1,0,0,0,0,0,0
1675826875.7731717,2,1,0,1,0.006473064422607422,13,28.49386167526245
1675828019.2874346,3,2,0,2,0.20748496055603027,26,1171.4391684532166
1675828038.818235,4,3,0,3,0.8434827327728271,30,1189.9447836875916
1675828072.8584704,5,4,0,4,1.3497672080993652,37,1223.0046095848083
1675828105.8257332,6,5,0,5,2.347426652908325,47,1254.380288362503
1675828150.957458,7,6,0,6,3.2726047039031982,51,1297.9001610279083
1675828194.5670693,8,7,0,7,3.9309470653533936,55,1340.1176850795746
1675828220.0463686,9,8,0,8,5.201487302780151,62,1363.4675102233887
1675828236.8300712,10,9,0,9,7.022101640701294,69,1377.5150380134583
1675828267.0909555,11,10,0,10,8.624058246612549,82,1405.1848018169403
1675828372.5462399,12,11,0,11,10.745165586471558,95,1507.3726768493652
1675828503.1009974,13,12,0,12,14.202553272247314,99,1633.3159894943237
1675828528.5473135,14,13,0,13,14.79397439956665,112,1656.8454048633575
1675828579.692491,15,14,0,14,16.3516902923584,119,1705.1049029827118
1675828613.0494807,16,15,0,15,17.78595209121704,132,1735.5943880081177
1675828683.7541707,17,16,0,16,25.341408252716064,143,1797.1899559497833
1675828734.9550352,18,17,0,17,29.26364016532898,156,1842.6848142147064
1675830128.0112293,19,18,0,18,40.78860378265381,169,3222.3593106269836
1675830713.69723,20,19,0,19,46.42233943939209,182,3800.616758584976
1675830748.830571,21,20,0,20,51.52934455871582,186,3828.8879783153534
1675831135.7733629,22,21,0,21,56.68887734413147,190,4208.794156074524
1675831165.436895,23,21,1,22,63.3177764415741,192,4230.043561220169
1675831196.9122467,24,22,1,23,63.966402769088745,205,4258.982372045517
1675831245.9522784,25,22,2,24,70.40963292121887,207,4299.707387208939
1675831290.494578,26,23,2,25,71.21822881698608,220,4341.440649032593
1675833193.4169924,27,24,2,26,81.02141571044922,233,6232.356439113617
1675833282.0898898,28,25,2,27,89.04699158668518,240,6310.799583911896
1675833327.3714504,29,26,2,28,92.2830924987793,244,6350.487571001053
1675833383.540673,30,27,2,29,98.95307850837708,257,6397.604316949844
1675833460.79811,31,28,2,30,101.14503717422485,270,6470.236558198929
1675833603.7538047,32,29,2,31,108.10236668586731,274,6603.70553445816
1675833655.2616882,33,30,2,32,115.89487028121948,287,6644.846557378769
1675833657.7892442,34,30,2,33,116.03964829444885,287,6644.846557378769
