timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675538857.881875,1,0,0,0,0,0,0
1675539009.5246863,2,1,0,1,0.0069980621337890625,13,151.28891015052795
1675539063.1795251,3,2,0,2,0.22387385368347168,20,204.20391178131104
1675539137.619362,4,3,0,3,0.7440388202667236,33,277.42297077178955
1675539450.0930898,5,4,0,4,1.1073715686798096,46,588.8250138759613
1675539501.7579675,6,5,0,5,1.3555266857147217,59,639.6300101280212
1675540019.1944542,7,6,0,6,2.4629881381988525,72,1155.1491222381592
1675540063.0675023,8,7,0,7,3.401566743850708,76,1196.9204280376434
1675540102.227043,9,8,0,8,3.906651735305786,80,1234.692521572113
1675540159.9986763,10,8,1,9,4.623385190963745,82,1290.920271396637
1675540226.4212923,11,9,1,10,5.836432933807373,92,1355.1557168960571
1675540303.5539682,12,10,1,11,6.261560678482056,96,1430.5965735912323
1675540329.899402,13,11,1,12,12.33453917503357,109,1448.7927141189575
1675540395.8867579,14,12,1,13,17.394912242889404,113,1507.8353734016418
1675540434.7360823,15,13,1,14,21.02014398574829,126,1541.4307491779327
1675540803.0072055,16,14,1,15,24.52614188194275,139,1903.8283970355988
1675541138.6627154,17,15,1,16,29.179829835891724,159,2233.1281187534332
1675541501.7748594,18,15,2,17,37.405009031295776,161,2586.565116882324
1675541532.4267426,19,16,2,18,41.7739839553833,165,2611.3089265823364
1675541536.8610203,20,16,2,19,44.8624849319458,165,2611.3089265823364
