timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675538858.7581348,1,0,0,0,0,0,0,0,0
1675538871.488519,2,1,0,1,0.011362552642822266,3,12.38199758529663,0,0
1675538876.81117,3,2,0,2,4.545873641967773,6,12.752254724502563,0,0
1675538886.5399678,4,3,0,3,13.164364576339722,9,13.304858207702637,0,0
1675538915.5791855,5,4,0,4,37.150296211242676,12,17.711955308914185,0,0
1675538974.2622993,6,5,0,5,73.30208444595337,15,39.570534229278564,0,0
1675539025.298063,7,6,0,6,92.19415020942688,18,70.66235995292664,0,0
1675539065.3630767,8,7,0,7,112.74376320838928,21,88.98233103752136,0,0
1675539355.7203288,9,7,1,8,135.10575771331787,22,109.58058881759644,2,246.110755443573
1675539371.861932,10,8,1,9,139.07309317588806,25,120.73862838745117,2,246.110755443573
1675539491.3267884,11,8,2,10,173.93803548812866,26,154.51583051681519,4,295.48884415626526
1675539516.8094614,12,9,2,11,181.65621161460876,35,170.85161352157593,4,295.48884415626526
1675539544.523026,13,10,2,12,187.19117712974548,38,191.9782166481018,4,295.48884415626526
1675539565.2517827,14,11,2,13,206.3616259098053,41,192.44956994056702,4,295.48884415626526
1675539614.815556,15,12,2,14,225.8432538509369,50,221.24233317375183,4,295.48884415626526
1675539694.9196768,16,13,2,15,292.0105004310608,59,233.1207730770111,4,295.48884415626526
1675539778.8577847,17,14,2,16,348.73831033706665,68,258.0843825340271,4,295.48884415626526
1675539827.4543517,18,15,2,17,376.570698261261,69,265.58349442481995,8,307.04022312164307
1675539996.0065906,19,16,2,18,387.02534532546997,70,285.60474467277527,12,443.3740725517273
1675540020.3213565,20,17,2,19,392.5237145423889,79,302.7275733947754,12,443.3740725517273
1675540064.7051659,21,18,2,20,429.07113766670227,82,308.76729822158813,12,443.3740725517273
1675540082.4876542,22,19,2,21,441.2825243473053,91,312.22113847732544,12,443.3740725517273
1675540110.7226026,23,19,2,22,466.978905916214,91,312.22113847732544,12,443.3740725517273
