timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675538858.393788,1,0,0,0,0,0,0,0,0
1675538863.9673767,2,1,0,1,0.007365226745605469,3,5.354270935058594,0,0
1675538873.2437265,3,2,0,2,1.3690600395202637,6,13.00875735282898,0,0
1675538881.5904002,4,3,0,3,2.9118640422821045,9,19.463422536849976,0,0
1675538904.4029038,5,4,0,4,9.756166696548462,18,34.98046064376831,0,0
1675538934.123968,6,5,0,5,29.87627148628235,21,44.06043362617493,0,0
1675538954.1198156,7,6,0,6,38.92319941520691,24,54.422234773635864,0,0
1675538985.3559947,8,7,0,7,63.81781458854675,27,60.07260179519653,0,0
1675539026.3660948,9,8,0,8,88.98840928077698,36,75.11085724830627,0,0
1675539119.0365844,10,8,1,9,121.46164035797119,37,81.68817043304443,2,52.72573184967041
1675539129.1084383,11,9,1,10,122.23483443260193,46,90.06264996528625,2,52.72573184967041
1675539184.38502,12,10,1,11,141.33495044708252,47,102.34189987182617,6,75.15325284004211
1675539227.3435328,13,11,1,12,173.63177943229675,56,111.84352612495422,6,75.15325284004211
1675539254.4204106,14,12,1,13,189.39750266075134,59,121.86963152885437,6,75.15325284004211
1675539296.2366986,15,13,1,14,216.9471035003662,68,134.544438123703,6,75.15325284004211
1675539539.6857483,16,14,1,15,243.02437591552734,69,166.38190579414368,10,258.5897378921509
1675539910.573393,17,14,2,16,303.52760195732117,70,174.7442090511322,12,558.6353724002838
1675539927.6514258,18,15,2,17,307.81529235839844,73,186.17019033432007,12,558.6353724002838
1675539971.3291314,19,16,2,18,349.0158202648163,81,187.0991132259369,12,558.6353724002838
1675540014.3560834,20,17,2,19,368.22437047958374,84,208.72968339920044,12,558.6353724002838
1675540070.1025224,21,18,2,20,415.10078954696655,93,215.9974341392517,12,558.6353724002838
1675540122.1321087,22,19,2,21,439.54781556129456,96,241.74543142318726,12,558.6353724002838
1675540134.7047358,23,19,2,22,450.6975600719452,96,241.74543142318726,12,558.6353724002838
