timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675718704.3128755,1,0,0,0,0,0,0,0,0
1675718724.211728,2,1,0,1,0.012835979461669922,10,19.55431604385376,0,0
1675718790.4332945,3,2,0,2,62.959776639938354,20,22.482431888580322,0,0
1675719242.0231445,4,3,0,3,511.7527632713318,30,24.77881956100464,0,0
1675720646.6102452,5,4,0,4,1908.7308464050293,36,31.844894647598267,0,0
1675721528.8979065,6,5,0,5,2788.114479780197,39,34.233086585998535,0,0
1675724007.6456087,7,6,0,6,5265.8936586380005,42,34.61774253845215,0,0
1675725395.6397328,8,7,0,7,6603.884178161621,45,83.953773021698,0,0
1675750445.488875,9,8,0,8,31560.423167467117,48,176.17644715309143,0,0
1675794944.3497627,10,9,0,9,75894.45697999,51,339.5482602119446,0,0
