timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675718703.5963967,1,0,0,0,0,0,0
1675718723.6785624,2,1,0,1,0.007201671600341797,1,19.916499614715576
1675718973.1517682,3,2,0,2,0.48825526237487793,2,268.6910662651062
1675719070.2858853,4,3,0,3,48.855406522750854,3,317.16229820251465
1675719160.835545,5,4,0,4,127.28852081298828,4,328.9162845611572
1675719215.264796,6,5,0,5,160.40087056159973,5,349.753830909729
1675720504.6736367,7,6,0,6,409.03802967071533,6,1389.9793500900269
1675720947.275157,8,7,0,7,839.7674641609192,7,1401.2347133159637
1675721521.4182265,9,8,0,8,1211.0694496631622,8,1603.39675116539
1675722337.5202694,10,9,0,9,1807.5868756771088,9,1822.1784873008728
1675726968.8569837,11,10,0,10,6412.699522256851,10,1847.504522562027
1675729418.2649188,12,11,0,11,8613.754791021347,11,2094.8904736042023
1675740283.161295,13,12,0,12,19445.59763932228,12,2126.8698813915253
1675742809.7240233,14,13,0,13,21921.995051383972,13,2175.638198852539
1675748962.3655186,15,14,0,14,27914.643056869507,14,2333.581077337265
1675756472.766461,16,15,0,15,34678.410366773605,15,3078.0843398571014
1675760114.5860038,17,16,0,16,37645.014390945435,16,3751.062141895294
1675763598.293565,18,17,0,17,41021.71152687073,17,3856.547786951065
1675768905.281376,19,18,0,18,45776.10389447212,18,4407.555059909821
1675791761.6460977,20,19,0,19,68387.61320018768,19,4650.534875869751
1675798653.9369447,21,20,0,20,74203.30595135689,20,5724.559554815292
1675803398.2108808,22,21,0,21,77627.7526230812,21,7041.444425106049
1675820214.2273316,23,22,0,22,94262.68328237534,22,7220.48956823349
1675840922.9321818,24,23,0,23,114874.78594636917,23,7314.8986694812775
1675864203.7677066,25,24,0,24,137165.21497821808,24,8303.05262708664
