timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675739207.0878527,1,0,0,0,0,0,0,0,0
1675739224.6845903,2,1,0,1,0.011844158172607422,3,17.213715076446533,0,0
1675739248.2545605,3,2,0,2,7.680041551589966,6,32.706403493881226,0,0
1675739390.6383731,4,3,0,3,124.55974769592285,9,57.674792528152466,0,0
1675739457.2619686,5,4,0,4,164.1335530281067,12,84.0735273361206,0,0
1675740046.7752254,6,5,0,5,709.8043859004974,15,127.09945297241211,0,0
1675740266.5191998,7,6,0,6,893.9869115352631,24,161.68064975738525,0,0
1675741002.7838507,8,7,0,7,1603.0748109817505,27,187.98668479919434,0,0
1675744227.9960506,9,8,0,8,4826.604180574417,35,188.80195546150208,0,0
1675747223.2810857,10,9,0,9,7809.719457626343,38,199.78124856948853,0,0
1675751818.921182,11,10,0,10,12364.963619232178,41,238.79290866851807,0,0
1675755001.5367737,12,11,0,11,15544.922417640686,44,239.89835357666016,0,0
1675757887.7032754,13,12,0,12,18390.74848127365,47,278.5979907512665,0,0
1675768178.7569034,14,13,0,13,28677.966195344925,56,280.82903385162354,0,0
1675775792.0825324,15,14,0,14,36287.66863775253,65,283.03055715560913,0,0
1675786254.5044851,16,15,0,15,46710.64961361885,74,320.93397068977356,0,0
1675790824.4839554,17,16,0,16,51259.00782060623,77,341.0747137069702,0,0
1675792441.4532728,18,17,0,17,52839.535168886185,87,375.9698805809021,0,0
1675793424.2949507,19,18,0,18,53800.044786930084,90,396.45718693733215,0,0
1675799266.6710906,20,19,0,19,59604.463877916336,93,432.7313117980957,0,0
1675812528.0657408,21,20,0,20,72833.66630029678,96,463.21173548698425,0,0
1675816997.4952717,22,21,0,21,77300.43902087212,99,463.78749203681946,0,0
1675825952.4215636,23,22,0,22,86224.38969445229,102,492.80130887031555,0,0
