timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675739206.6977441,1,0,0,0,0,0,0
1675739273.7187033,2,1,0,1,0.007309913635253906,4,66.70975589752197
1675739304.0283108,3,2,0,2,0.016297578811645508,8,96.50988149642944
1675739353.2662647,4,3,0,3,0.02456831932067871,21,145.03742003440857
1675739395.744461,5,4,0,4,0.031836748123168945,32,186.66192984580994
1675739418.432881,6,5,0,5,0.049459218978881836,36,208.51786589622498
1675739521.5124037,7,6,0,6,0.05623340606689453,54,310.884241104126
1675739537.6791213,8,7,0,7,0.07322382926940918,61,326.21705317497253
1675739571.2308724,9,8,0,8,0.09604263305664062,77,358.4332106113434
1675739671.0720515,10,9,0,9,0.10573697090148926,96,456.88472080230713
1675739769.4590886,11,10,0,10,0.1291031837463379,107,554.2391579151154
1675739824.025641,12,11,0,11,0.14108586311340332,117,607.7237045764923
1675739869.8143272,13,12,0,12,0.17663836479187012,124,652.2421610355377
1675739907.7112653,14,13,0,13,0.21028614044189453,128,688.2516286373138
1675739929.6103458,15,14,0,14,0.2293081283569336,135,708.1391305923462
1675739937.995237,16,15,0,15,0.24129319190979004,146,714.3101501464844
1675739977.3670702,17,16,0,16,0.29458165168762207,150,751.4091918468475
1675740025.5167062,18,17,0,17,0.30529093742370605,157,798.0281562805176
1675740060.2777014,19,18,0,18,0.31683874130249023,170,831.1647922992706
1675740103.4706519,20,19,0,19,0.3430812358856201,174,872.5588216781616
1675740129.2598023,21,20,0,20,0.38153076171875,178,895.5529634952545
1675740177.6864002,22,21,0,21,0.46437644958496094,191,940.9782967567444
1675740402.2445211,23,22,0,22,0.47914886474609375,204,1162.3267788887024
1675740632.237165,24,23,0,23,0.4957144260406494,223,1389.1053538322449
1675740818.3359766,25,24,0,24,0.506636381149292,230,1572.4369440078735
1675740862.3348372,26,25,0,25,0.5414166450500488,243,1614.063859462738
1675740947.4775846,27,25,1,26,0.5658607482910156,245,1695.9445538520813
1675741157.55328,28,26,1,27,0.5790002346038818,249,1903.7747857570648
1675741203.6127698,29,27,1,28,0.5953195095062256,256,1947.4582681655884
1675741227.9304824,30,28,1,29,0.6685559749603271,263,1969.3201396465302
1675741442.4463325,31,29,1,30,0.8205053806304932,270,2181.1898601055145
1675741478.8480852,32,30,1,31,0.9485957622528076,274,2214.9305531978607
1675741513.3896036,33,31,1,32,1.0823078155517578,287,2246.7240872383118
1675741783.9014065,34,32,1,33,1.098008394241333,300,2514.3219182491302
1675741834.5715444,35,33,1,34,1.2132928371429443,313,2560.576464653015
1675741869.2464852,36,33,2,35,1.2835111618041992,315,2591.710397720337
1675741976.1693454,37,34,2,36,1.2994914054870605,319,2695.785012960434
1675742018.2764194,38,35,2,37,1.3348188400268555,323,2734.8027498722076
1675742071.5991147,39,36,2,38,1.3748595714569092,330,2783.3328075408936
1675742173.7895079,40,37,2,39,1.401859998703003,337,2880.544400215149
1675742236.1414344,41,38,2,40,1.6086528301239014,350,2937.7542984485626
1675742294.2676978,42,39,2,41,1.626828670501709,363,2991.120968580246
1675742358.2324827,43,39,3,42,1.6726903915405273,365,3050.0820412635803
1675742401.526794,44,40,3,43,1.69010591506958,378,3088.4712228775024
1675742438.1819718,45,41,3,44,1.7326810359954834,391,3121.567569732666
1675742492.0176287,46,41,4,45,1.753007173538208,393,3172.034342288971
1675742533.3541503,47,41,5,46,1.7703676223754883,395,3208.0240864753723
1675742593.7256792,48,42,5,47,1.7981758117675781,399,3262.8844678401947
1675742654.3807304,49,43,5,48,1.8394663333892822,412,3318.399474143982
1675742739.2529607,50,43,6,49,1.8748011589050293,414,3397.9111320972443
1675742784.0767987,51,43,7,50,1.891390323638916,416,3438.0738694667816
1675742854.480745,52,43,8,51,1.9057934284210205,418,3504.916084766388
1675742926.7090635,53,43,9,52,1.9221179485321045,420,3571.6243102550507
1675742974.5908477,54,44,9,53,1.992969274520874,433,3613.592004299164
1675743021.665097,55,45,9,54,2.0253405570983887,446,3654.887512922287
1675743082.8145812,56,46,9,55,2.0725040435791016,459,3711.1593132019043
1675743142.413568,57,47,9,56,2.185600519180298,463,3764.6050972938538
1675743210.4915335,58,48,9,57,2.293412923812866,476,3826.3709392547607
1675743288.3713944,59,49,9,58,2.457340717315674,489,3897.871280193329
1675743578.5993156,60,50,9,59,2.5695669651031494,502,4183.667230606079
1675743608.9479709,61,51,9,60,2.6337673664093018,506,4207.307939052582
1675743656.0781932,62,52,9,61,2.7107176780700684,513,4247.768472194672
1675743699.4730494,63,52,10,62,2.789124011993408,515,4286.873418569565
