timestamp,iterations,solutions,solver_checks,solver_time
1675717035.8522584,1,0,0,0
1675722703.3284388,2,0,1,5667.473751306534
1675725308.7230601,3,1,2,8272.848196983337
1675745941.7566886,4,2,3,28905.87495160103
1675746852.5728636,5,3,4,29816.67476296425
1675747055.078825,6,4,5,30019.16075015068
1675747152.3918405,7,5,6,30116.454847574234
1675747224.389094,8,6,7,30188.433094263077
1675747351.196434,9,7,8,30315.220642089844
1675747408.8083324,10,8,9,30372.813210487366
1675747513.1838212,11,9,11,30477.168789863586
1675748175.3384423,12,10,12,31139.304387569427
1675748349.588817,13,11,15,31313.532237768173
1675749027.1927848,14,12,16,31991.1150970459
1675749099.868865,15,13,17,32063.770729780197
1675749329.6669412,16,14,33,32293.501747131348
1675749788.6087956,17,15,52,32752.371819734573
1675749852.5580633,18,16,55,32816.29295325279
1675749902.1067972,19,17,59,32865.82374191284
1675749953.1117625,20,18,60,32916.81501197815
1675749995.5270474,21,19,69,32959.2113199234
1675750044.6742866,22,20,70,33008.348232507706
1675750122.545814,23,21,85,33086.18814778328
1675750211.7948794,24,22,86,33175.41713833809
1675750372.2094617,25,23,95,33335.801606178284
1675750560.604141,26,24,96,33524.179584503174
1675750657.866693,27,25,110,33621.39995741844
1675750847.7447298,28,26,114,33811.25131106377
1675750975.4515986,29,27,115,33938.938376903534
1675751076.3559797,30,28,129,34039.807519197464
1675751207.732813,31,29,130,34171.16520571709
1675751320.4543686,32,30,140,34283.85391950607
1675751639.7661054,33,31,141,34603.146939992905
1675751683.3370166,34,32,150,34646.69080901146
1675751805.2280362,35,33,151,34768.56540441513
1675752171.5147645,36,34,164,35134.81241250038
1675752265.7934318,37,35,165,35229.07474207878
1675752383.3845937,38,36,166,35346.64599633217
1675752505.6630247,39,37,169,35468.90315890312
1675752677.8645852,40,38,170,35641.083144664764
1675752840.9603133,41,39,171,35804.15849065781
1675753270.0765052,42,40,172,36233.25892782211
1675753324.1253834,43,41,173,36287.290706157684
1675753635.292178,44,42,197,36598.4096364975
1675753766.0780008,45,43,224,36729.14349317551
1675753873.1878457,46,44,227,36836.23395562172
1675753952.707024,47,45,231,36915.733971595764
1675754044.842125,48,46,232,37007.85598111153
1675754099.0132375,49,47,246,37062.001900196075
1675754162.377668,50,48,247,37125.35541176796
1675754254.0842142,51,49,257,37217.03661727905
1675754347.435949,52,50,258,37310.37320494652
1675754400.2755165,53,51,267,37363.193393945694
1675754487.1299744,54,52,268,37450.03481173515
1675754532.4474442,55,53,282,37495.323716163635
1675754622.6412437,56,54,286,37585.50261592865
1675754693.2796743,57,55,287,37656.12788891792
1675754742.3039877,58,56,301,37705.1265039444
1675754799.2915354,59,57,302,37762.09986329079
1675754864.1740012,60,58,312,37826.954582214355
1675754912.705853,61,59,313,37875.473252773285
1675755001.2738512,62,60,317,37964.024423360825
1675755067.9535077,63,61,318,38030.68969845772
1675755200.38602,64,62,337,38163.08861041069
1675755280.8367171,65,63,341,38243.52025461197
1675755339.6445339,66,64,342,38302.31361937523
1675755417.7884922,67,65,356,38380.43238568306
1675755485.4747727,68,66,357,38448.10490870476
1675755566.8708022,69,67,367,38529.47258377075
1675755654.5574584,70,68,368,38617.14385533333
1675755724.8659947,71,69,377,38687.429272413254
1675755794.6613176,72,70,378,38757.209951877594
1675755861.860144,73,71,391,38824.379744529724
1675755925.6459067,74,72,392,38888.14941716194
1675756104.5682356,75,73,393,39067.056752204895
1675756256.0099785,76,74,396,39218.481320381165
1675756316.0826938,77,75,400,39278.533474206924
1675756568.7867064,78,76,401,39531.2238035202
1675756641.484075,79,77,415,39603.89264369011
1675756673.8635955,80,78,416,39636.252709150314
1675756950.0249672,81,79,426,39912.392065525055
1675756999.198288,82,80,427,39961.55235981941
1675757052.4585867,83,81,441,40014.78693699837
1675757117.6332726,84,82,442,40079.94993901253
1675757186.86777,85,83,451,40149.156963825226
1675757260.2121036,86,84,455,40222.481516599655
1675757327.561936,87,85,456,40289.81827402115
1675757361.189496,88,86,470,40323.420290231705
1675757437.207035,89,87,471,40399.42458677292
1675757471.5415285,90,88,481,40433.733239650726
1675757525.8577454,91,89,482,40488.04015183449
1675757567.2041373,92,90,496,40529.35968732834
1675757618.4573836,93,91,497,40580.6006526947
1675757653.3737855,94,92,506,40615.49302768707
1675757726.6156054,95,93,510,40688.72044014931
1675757763.1125998,96,94,511,40725.20421338081
1675757822.0535572,97,95,525,40784.12522339821
1675757858.0860534,98,96,526,40820.14342093468
1675757902.9229496,99,97,536,40864.954610824585
1675757958.5370612,100,98,537,40920.55605196953
1675758001.7755964,101,99,551,40963.77211999893
1675758081.5189326,102,100,552,41043.50329494476
1675758161.3749099,103,101,561,41123.33545446396
1675758205.060579,104,102,565,41167.00295996666
1675758269.6374395,105,103,566,41231.56755232811
1675758314.6225905,106,104,580,41276.52621102333
1675758369.9276845,107,105,581,41331.82076096535
1675758443.6517785,108,106,591,41405.51836490631
1675758491.9024842,109,107,592,41453.75292491913
1675758549.5611691,110,108,601,41511.392372608185
1675758612.417278,111,109,602,41574.23437547684
1675758939.4670098,112,110,615,41901.25338244438
1675759874.456059,113,111,616,42836.22516846657
1675759909.9764612,114,112,617,42871.7277905941
1675759937.7050586,115,113,618,42899.44070029259
1675760101.833441,116,114,619,43063.55746436119
1675760216.9475563,117,115,622,43178.65008974075
1675760270.796281,118,116,641,43232.460889816284
1675760317.1525733,119,117,645,43278.79690909386
1675760344.6749856,120,118,646,43306.30617046356
1675760386.7585936,121,119,660,43348.36770415306
1675760525.2528632,122,120,661,43486.84687900543
1675760580.0340629,123,121,671,43541.60118126869
1675760697.6160302,124,122,672,43659.16692471504
1675760763.0878968,125,123,686,43724.61197018623
1675760828.628982,126,124,687,43790.13894677162
1675760864.2983978,127,125,696,43825.78377389908
1675760967.572216,128,126,700,43929.04290175438
1675761019.7898548,129,127,701,43981.24531674385
1675761102.732744,130,128,715,44064.163966178894
1675761163.107399,131,129,716,44124.523644924164
1675761209.266703,132,130,726,44170.657885074615
1675761268.3738966,133,131,727,44229.75047492981
1675761313.0371218,134,132,741,44274.38655614853
1675761437.3371453,135,133,742,44398.673063755035
1675761539.9456801,136,134,751,44501.2573800087
