timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675717035.9360912,1,0,0,0,0,0,0
1675717079.5992303,2,1,0,1,0.007137775421142578,1,43.48542284965515
1675717092.8775659,3,2,0,2,0.012098550796508789,2,56.52202820777893
1675717093.1963499,4,3,0,3,0.016384124755859375,3,56.54189682006836
1675717093.5996802,5,4,0,4,0.020619869232177734,4,56.57747530937195
1675717110.332381,6,5,0,5,0.02947068214416504,5,72.85879158973694
1675717111.0827682,7,6,0,6,0.03701210021972656,6,73.08066391944885
1675717111.7375007,8,7,0,7,0.04674482345581055,7,73.13912034034729
1675717112.4961855,9,8,0,8,0.05823707580566406,8,73.2053108215332
1675717142.3096986,10,9,0,9,0.06447410583496094,9,102.25729846954346
1675717167.7696164,11,10,0,10,0.07153511047363281,10,126.89754581451416
1675717211.9386039,12,11,0,11,0.0799109935760498,11,170.13393712043762
1675717291.1163247,13,12,0,12,0.08574104309082031,12,248.30354952812195
1675717292.4594123,14,13,0,13,0.09580564498901367,13,248.6064796447754
1675717317.8274658,15,14,0,14,0.10250544548034668,14,272.8697319030762
1675717354.5655434,16,15,0,15,0.1109459400177002,15,308.3929023742676
1675717465.5081003,17,16,0,16,0.11744809150695801,16,418.07112741470337
1675717485.9972074,18,17,0,17,0.1436748504638672,17,437.22666478157043
1675717568.5968084,19,18,0,18,0.15215659141540527,18,518.4172158241272
1675717606.711357,20,19,0,19,0.16574358940124512,19,554.9442236423492
1675717633.1563458,21,20,0,20,0.1983330249786377,20,579.8195979595184
1675717707.131235,22,21,0,21,0.2200911045074463,21,652.152745962143
1675717742.611667,23,21,1,22,0.2395796775817871,22,685.7929275035858
1675717780.7064295,24,21,2,23,0.24350237846374512,23,722.2903306484222
1675717811.2273076,25,21,3,24,0.24693822860717773,24,751.2108242511749
1675717888.2123969,26,21,4,25,0.25142359733581543,25,826.5276334285736
1675717908.0885031,27,21,5,26,0.25527262687683105,26,844.7831869125366
1675717941.4801524,28,21,6,27,0.2587618827819824,27,876.5299780368805
1675717966.9892843,29,22,6,28,0.26346755027770996,28,900.3089983463287
1675718030.0160441,30,22,7,29,0.28010082244873047,29,961.6035645008087
1675718048.2378092,31,22,8,30,0.28510332107543945,30,978.048746585846
1675718087.0839615,32,22,9,31,0.28889012336730957,31,1015.1860389709473
1675718115.647448,33,22,10,32,0.29335832595825195,32,1042.0192790031433
1675718187.7701542,34,22,11,33,0.2971150875091553,33,1112.420180797577
1675718214.430893,35,22,12,34,0.301790714263916,34,1137.3531692028046
1675718325.6200538,36,22,13,35,0.30553269386291504,35,1246.7928512096405
1675718419.922239,37,22,14,36,0.3106050491333008,36,1339.352614402771
1675718451.859731,38,22,15,37,0.31441354751586914,37,1369.5802283287048
1675718473.2770717,39,22,16,38,0.31902432441711426,38,1389.2722384929657
1675718509.7483068,40,22,17,39,0.323228120803833,39,1424.0337977409363
1675718577.290692,41,23,17,40,0.3668532371520996,40,1489.7039000988007
1675718615.4148757,42,24,17,41,0.380617618560791,41,1525.9314243793488
1675718645.7431178,43,24,18,42,0.3966705799102783,42,1554.3591198921204
1675718677.5697827,44,25,18,43,0.40111422538757324,43,1584.251712322235
1675718808.5906024,45,26,18,44,0.42486023902893066,44,1713.21133518219
1675718887.2824674,46,26,19,45,0.43344902992248535,45,1789.4916682243347
1675718916.0880916,47,27,19,46,0.45143771171569824,46,1816.1191620826721
1675718982.2533655,48,28,19,47,0.5106654167175293,47,1880.028626203537
1675718984.6411412,49,29,19,48,0.5299065113067627,48,1880.1642591953278
1675719019.501107,50,30,19,49,0.5440459251403809,49,1912.6763923168182
1675719061.9491098,51,31,19,50,0.5612971782684326,50,1952.6454927921295
1675719102.5643244,52,32,19,51,0.6036303043365479,51,1990.721010684967
1675719133.271763,53,32,20,52,0.6166303157806396,52,2018.9426801204681
