timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675538847.640389,1,0,0,0,0,0,0,0,0
1675538852.0277934,2,1,0,1,0.007119894027709961,3,4.143138408660889,0,0
1675538874.1881607,3,2,0,2,2.3405470848083496,12,23.594329118728638,0,0
1675538890.0503774,4,3,0,3,8.59853219985962,15,32.72821664810181,0,0
1675538987.098772,5,4,0,4,87.31581354141235,25,50.23792266845703,0,0
1675539092.8085916,6,5,0,5,171.37041425704956,28,70.7006766796112,0,0
1675539194.6120703,7,6,0,6,216.0258505344391,38,126.39774250984192,0,0
1675539289.955385,8,7,0,7,296.51812267303467,47,139.68723821640015,0,0
1675539362.5401654,9,8,0,8,357.1731696128845,50,149.8658754825592,0,0
1675539411.6515455,10,9,0,9,390.1239233016968,60,164.0430428981781,0,0
1675539575.0519059,11,10,0,10,505.95863795280457,63,209.39585304260254,0,0
1675539675.4331946,12,11,0,11,554.1927428245544,73,259.0409073829651,0,0
1675539793.537406,13,12,0,12,656.5048780441284,76,272.29698038101196,0,0
1675540082.9558074,14,13,0,13,801.2070851325989,77,299.33115816116333,4,114.80601477622986
1675540225.3839457,15,14,0,14,923.3352189064026,86,317.5077097415924,4,114.80601477622986
1675540435.2426355,16,15,0,15,1116.5394494533539,89,331.0531117916107,4,114.80601477622986
1675540626.8661072,17,16,0,16,1259.6784567832947,90,353.8953869342804,15,137.27954173088074
1675540755.7634125,18,17,0,17,1368.6901454925537,99,371.7414982318878,15,137.27954173088074
1675540947.012406,19,18,0,18,1550.7465217113495,107,378.7523362636566,15,137.27954173088074
1675541154.42724,20,19,0,19,1692.848085641861,108,404.6250674724579,19,174.29160046577454
1675541319.310776,21,20,0,20,1818.7654478549957,111,440.7805769443512,19,174.29160046577454
1675541463.9469395,22,21,0,21,1947.1018362045288,120,454.53536891937256,19,174.29160046577454
1675541662.0388315,23,22,0,22,2120.1447353363037,123,476.83617186546326,19,174.29160046577454
1675541902.1167672,24,23,0,23,2323.197184085846,126,511.07604932785034,19,174.29160046577454
1675542071.3008087,25,24,0,24,2460.961238384247,129,539.6558299064636,19,174.29160046577454
1675542251.0765743,26,25,0,25,2616.5161798000336,137,560.9072427749634,19,174.29160046577454
1675542611.398225,27,26,0,26,2906.581844329834,138,594.4757091999054,26,207.62515664100647
1675543315.7686815,28,26,1,27,3132.3575489521027,139,606.1916868686676,28,671.2755169868469
1675543486.155689,29,27,1,28,3151.7835791110992,140,640.5176560878754,47,784.4761471748352
1675543696.731884,30,27,2,29,3325.9907536506653,141,647.8150718212128,49,810.2258098125458
1675543787.9954867,31,28,2,30,3348.1637880802155,142,691.1180198192596,60,832.4702877998352
1675544062.225364,32,29,2,31,3609.5692505836487,145,700.5017375946045,60,832.4702877998352
1675544273.1456954,33,30,2,32,3790.879428625107,148,726.4083898067474,60,832.4702877998352
1675544668.6794362,34,31,2,33,4071.486174583435,149,793.7012147903442,73,876.0056476593018
1675544932.4371908,35,32,2,34,4300.179012775421,159,824.6375951766968,73,876.0056476593018
1675545184.94291,36,33,2,35,4534.205987215042,167,838.9545035362244,73,876.0056476593018
1675545572.8942852,37,34,2,36,4757.765749454498,168,850.3238687515259,86,1024.2905802726746
1675545778.7410939,38,35,2,37,4934.788746595383,177,874.3815989494324,86,1024.2905802726746
1675546269.7721837,39,36,2,38,5271.3125195503235,178,888.3743815422058,99,1159.497593164444
1675546599.4778893,40,37,2,39,5569.865656375885,187,914.4545962810516,99,1159.497593164444
1675547112.8257198,41,38,2,40,6056.257136821747,196,936.1922192573547,99,1159.497593164444
1675549113.4930475,42,39,2,41,6431.573636054993,197,1015.2556850910187,112,2700.1851077079773
1675549587.3224468,43,40,2,42,6876.1912753582,206,1038.9563767910004,112,2700.1851077079773
1675549993.0465024,44,41,2,43,7196.44081902504,207,1050.2600445747375,125,2768.501980781555
