timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675538858.154612,1,0,0,0,0,0,0
1675538901.0002024,2,1,0,1,0.0069997310638427734,1,42.67494773864746
1675538935.0180335,3,2,0,2,0.34289121627807617,2,76.11437773704529
1675538973.4192824,4,3,0,3,2.802396297454834,3,111.68331551551819
1675539006.4560843,5,4,0,4,5.517563343048096,4,141.4864022731781
1675539025.0670595,6,5,0,5,7.8089704513549805,5,157.219220161438
1675539120.2792528,7,6,0,6,13.036627531051636,6,246.56038904190063
1675539150.361907,8,7,0,7,18.94086766242981,7,269.90364837646484
1675539209.010672,9,8,0,8,29.413578510284424,8,316.64238023757935
1675539420.7960992,10,9,0,9,53.397655725479126,9,502.904812335968
1675539490.3160548,11,10,0,10,84.53566908836365,10,539.6747887134552
1675539847.1150715,12,10,1,11,108.71191883087158,11,870.7232320308685
1675539872.1703548,13,11,1,12,109.91229319572449,12,893.4279160499573
1675539954.7105982,14,12,1,13,123.08999752998352,13,961.498560667038
1675540035.4988027,15,13,1,14,151.86372184753418,14,1012.1463649272919
1675540112.1545825,16,14,1,15,167.13549947738647,15,1072.0993478298187
1675540225.7947774,17,15,1,16,188.8582787513733,16,1162.4828870296478
1675540244.3266046,18,16,1,17,205.56200623512268,17,1162.6700065135956
1675540279.9328988,19,17,1,18,239.22716426849365,18,1162.7824256420135
1675540375.7750158,20,18,1,19,286.8432765007019,19,1208.047281742096
1675540473.9061766,21,19,1,20,363.78845167160034,20,1227.3408060073853
1675540541.5010524,22,20,1,21,387.3815743923187,21,1269.3051159381866
1675540629.6295266,23,20,2,22,440.5763609409332,22,1302.1074175834656
1675540674.233713,24,21,2,23,469.3726282119751,23,1315.7361800670624
1675540860.1247966,25,22,2,24,519.2909123897552,24,1449.2292993068695
1675540917.6378393,26,23,2,25,546.370687007904,25,1475.2811708450317
1675541006.6824021,27,24,2,26,596.9642014503479,26,1509.8811211585999
1675541109.926635,28,25,2,27,677.8506548404694,27,1529.6024866104126
1675541120.9507303,29,25,2,28,686.5593891143799,27,1529.6024866104126
