timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675555590.3622987,1,0,0,0,0,0,0
1675555590.675417,2,1,0,1,0.01131749153137207,1,0.19089460372924805
1675555590.9831307,3,2,0,2,0.16574573516845703,2,0.21028351783752441
1675555591.3681576,4,3,0,3,0.3612809181213379,3,0.2236461639404297
1675555591.769733,5,4,0,4,0.5286569595336914,4,0.23752737045288086
1675555593.2373672,6,5,0,5,1.7254815101623535,5,0.25563549995422363
1675555593.63551,7,6,0,6,1.790205478668213,6,0.2843160629272461
1675555594.9832911,8,7,0,7,2.4450442790985107,7,0.6406691074371338
1675555596.4209566,9,8,0,8,3.1953470706939697,8,0.9570119380950928
1675555597.8344936,10,9,0,9,4.165183782577515,9,0.9699864387512207
1675555599.4535508,11,10,0,10,4.683517694473267,10,1.6178441047668457
1675555600.134165,12,11,0,11,4.8637754917144775,11,1.6327693462371826
1675555600.9010587,13,12,0,12,5.095448732376099,12,1.6392812728881836
1675555601.7399797,14,13,0,13,5.381977558135986,13,1.6468534469604492
1675555605.4617922,15,13,1,14,7.4589245319366455,14,2.753325939178467
1675555610.8569255,16,13,2,15,7.9391114711761475,15,7.108030796051025
1675555612.1722462,17,14,2,16,8.55726933479309,16,7.191533327102661
1675555613.2345135,18,15,2,17,8.96274185180664,17,7.198934555053711
1675555617.835737,19,16,2,18,12.212580919265747,18,7.8369300365448
1675555625.8777301,20,17,2,19,19.54189443588257,19,7.851732492446899
1675555627.2951376,21,18,2,20,20.1523699760437,20,7.860957145690918
1675555629.9871871,22,19,2,21,21.96399760246277,21,7.868098735809326
1675555634.3866327,23,20,2,22,25.47358775138855,22,7.93575382232666
1675555640.0610418,24,21,2,23,30.187463998794556,23,7.965392589569092
1675555643.2294176,25,22,2,24,32.38948464393616,24,7.980157136917114
1675555651.4546776,26,23,2,25,39.65174651145935,25,8.000385999679565
1675555658.0660021,27,24,2,26,45.256938457489014,26,8.013291358947754
1675555672.0165553,28,25,2,27,56.56014275550842,27,9.621920347213745
1675555687.1934397,29,26,2,28,70.4763548374176,28,9.658064126968384
1675555702.284975,30,27,2,29,84.27981305122375,29,9.756413698196411
1675555705.3612938,31,28,2,30,86.15923523902893,30,9.809545278549194
1675555713.2767692,32,29,2,31,92.75040602684021,31,9.880959749221802
1675555716.37107,33,30,2,32,94.52701044082642,32,9.893507719039917
1675555740.6885777,34,31,2,33,116.5682270526886,33,10.743600606918335
1675555755.95418,35,31,3,34,126.19451451301575,34,15.042780876159668
1675555762.9506829,36,32,3,35,130.60713124275208,35,16.14163875579834
1675555793.8974876,37,33,3,36,150.7186074256897,36,25.45347285270691
1675555804.1167345,38,34,3,37,159.3425178527832,37,25.50063395500183
