timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675628918.288782,1,0,0,0,0,0,0,0,0
1675628918.5014594,2,1,0,1,0.006167888641357422,3,0.12642145156860352,0,0
1675628918.7686872,3,2,0,2,0.04665493965148926,6,0.26315999031066895,0,0
1675628918.9538448,4,3,0,3,0.06146836280822754,9,0.32381629943847656,0,0
1675628919.2519376,5,4,0,4,0.10854935646057129,12,0.44917893409729004,0,0
1675628919.4885652,6,5,0,5,0.15865087509155273,15,0.4828305244445801,0,0
1675628920.1120229,7,6,0,6,0.5455896854400635,18,0.5457334518432617,0,0
1675628920.6859822,8,7,0,7,0.9022793769836426,21,0.5701789855957031,0,0
1675628924.4498785,9,8,0,8,2.3625588417053223,30,2.651768207550049,0,0
1675628930.870403,10,9,0,9,2.6388275623321533,31,3.03883957862854,13,5.47346830368042
1675628942.167271,11,10,0,10,2.801408529281616,32,3.6329092979431152,32,15.663885354995728
1675628945.9129188,12,11,0,11,4.9452595710754395,41,4.9440953731536865,32,15.663885354995728
1675628948.7559085,13,12,0,12,6.113319158554077,50,6.314762830734253,32,15.663885354995728
1675628972.644172,14,13,0,13,8.63029432296753,51,7.4056556224823,52,35.5311644077301
1675628986.1823592,15,14,0,14,12.864521980285645,52,8.026453733444214,71,43.78722286224365
1675629031.3442464,16,15,0,15,13.356329441070557,53,9.152282238006592,91,86.8455605506897
1675629041.5793636,17,15,1,16,18.591224193572998,54,11.882925510406494,93,88.77139496803284
1675629068.8043368,18,16,1,17,19.366220712661743,55,12.689940452575684,113,113.94051051139832
1675629078.2702718,19,17,1,18,21.68518328666687,56,12.922204971313477,126,120.36792421340942
1675629085.2898123,20,18,1,19,27.082014083862305,65,14.117037296295166,126,120.36792421340942
1675629113.2755952,21,19,1,20,38.369117975234985,66,14.551705121994019,145,136.09230422973633
1675629127.7736826,22,20,1,21,46.38810110092163,67,15.190000534057617,158,141.37820315361023
1675629138.0250573,23,21,1,22,47.249431133270264,68,15.48012089729309,177,149.88115429878235
1675629146.4749248,24,22,1,23,54.1294960975647,69,16.013885498046875,184,150.3602306842804
1675629155.9408638,25,22,2,24,61.15421009063721,70,16.500881910324097,186,151.8310570716858
1675629174.928091,26,23,2,25,64.12201452255249,71,17.709681510925293,206,166.033926486969
1675629209.0805802,27,24,2,26,76.87542843818665,72,18.78798270225525,225,185.68575763702393
1675629219.293811,28,24,3,27,81.50982213020325,73,19.548688888549805,227,189.9566204547882
1675629236.6317196,29,24,4,28,90.90751838684082,74,20.332257747650146,229,196.55935192108154
1675629240.4184513,30,24,5,29,91.93799686431885,75,21.109732151031494,231,197.98958730697632
1675629253.0579531,31,24,6,30,101.27595639228821,76,21.755329847335815,233,200.0923993587494
1675629273.3321524,32,25,6,31,102.96261668205261,77,23.220020055770874,252,216.52344703674316
1675629297.6988971,33,26,6,32,116.36283874511719,78,24.075132131576538,265,225.92177414894104
1675629303.3711658,34,27,6,33,120.21940755844116,87,25.25900912284851,265,225.92177414894104
1675629313.8142188,35,28,6,34,128.97769808769226,95,26.29564666748047,265,225.92177414894104
1675629369.3013701,36,29,6,35,149.306245803833,96,26.533870220184326,285,260.0817172527313
1675629390.7026348,37,30,6,36,160.48507070541382,97,27.586101770401,303,268.4740171432495
1675629412.038653,38,31,6,37,163.6232888698578,98,28.077232122421265,322,285.3922848701477
1675629466.3069415,39,32,6,38,169.94510889053345,99,29.35269570350647,342,331.1821713447571
1675629479.7857797,40,32,7,39,179.6510407924652,100,29.92561388015747,344,333.66427731513977
1675629486.9237463,41,33,7,40,182.24477338790894,101,30.21385383605957,363,337.07293581962585
1675629516.745594,42,34,7,41,188.32319927215576,102,31.22060751914978,383,358.93142676353455
1675629542.5110624,43,35,7,42,200.61561679840088,103,31.671072006225586,402,370.98851346969604
1675629586.7618968,44,36,7,43,205.60841464996338,104,32.369792461395264,421,408.5736722946167
1675629620.8002348,45,37,7,44,211.84184908866882,105,33.24985074996948,440,434.49386405944824
1675629650.5191505,46,38,7,45,214.96813249588013,106,33.95078134536743,459,459.3430256843567
1675629679.8162074,47,39,7,46,222.77277088165283,107,34.73737597465515,479,479.02129077911377
1675629709.407157,48,40,7,47,226.90465664863586,108,35.19626474380493,498,502.9172682762146
1675629736.8981268,49,41,7,48,240.2760157585144,109,35.95236563682556,517,515.2160968780518
1675629751.7011151,50,42,7,49,243.18951153755188,110,36.729278564453125,536,525.2765665054321
1675629752.539819,51,42,7,50,243.21351146697998,110,36.729278564453125,536,525.2765665054321
