timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675556145.745526,1,0,0,0,0,0,0,0,0
1675556146.119223,2,1,0,1,0.011498689651489258,3,0.21732234954833984,0,0
1675556147.5226645,3,2,0,2,0.3335423469543457,6,1.1305885314941406,0,0
1675556148.2273483,4,3,0,3,0.6133477687835693,9,1.364079236984253,0,0
1675556148.607594,5,4,0,4,0.6682071685791016,12,1.4674978256225586,0,0
1675556157.8106747,6,4,1,5,1.4582059383392334,13,2.344355583190918,2,7.315696716308594
1675556159.0700877,7,5,1,6,2.252441644668579,16,2.536602020263672,2,7.315696716308594
1675556161.837458,8,6,1,7,4.308539390563965,19,2.9344217777252197,2,7.315696716308594
1675556165.14066,9,7,1,8,6.770585775375366,22,3.447150468826294,2,7.315696716308594
1675556170.6396856,10,8,1,9,9.351066827774048,30,5.993610382080078,2,7.315696716308594
1675556171.9184978,11,9,1,10,9.93715786933899,33,6.264124155044556,2,7.315696716308594
1675556207.8932917,12,10,1,11,14.063188791275024,34,7.046308517456055,21,37.89689350128174
1675556210.046503,13,11,1,12,15.336560487747192,37,7.633876323699951,21,37.89689350128174
1675556236.527038,14,12,1,13,16.59097933769226,38,9.455861568450928,40,60.853968143463135
1675556239.383747,15,13,1,14,17.91868019104004,47,10.615464448928833,40,60.853968143463135
1675556278.0601661,16,14,1,15,38.69300842285156,48,11.623138904571533,59,77.25168442726135
1675556337.894654,17,15,1,16,45.73338055610657,49,12.281552791595459,79,128.76423406600952
1675556347.622118,18,15,2,17,50.71310758590698,50,12.929859399795532,81,132.3896005153656
1675556349.7467134,19,16,2,18,51.4642653465271,53,13.57745099067688,81,132.3896005153656
1675556352.8873718,20,17,2,19,53.445183992385864,61,14.14998984336853,81,132.3896005153656
1675556388.635777,21,18,2,20,56.87511658668518,62,14.522953033447266,100,163.6017198562622
1675556422.9359565,22,19,2,21,69.65077376365662,63,15.084395170211792,119,183.4587173461914
1675556448.2062988,23,20,2,22,84.06362557411194,64,15.787830114364624,138,192.5663492679596
1675556483.986674,24,21,2,23,102.05915713310242,65,16.64148449897766,157,208.52291440963745
1675556515.46097,25,22,2,24,121.96817827224731,66,17.22174334526062,170,218.4121537208557
1675556583.7217507,26,23,2,25,141.18821001052856,67,17.956006288528442,189,265.50288248062134
1675556601.431038,27,23,3,26,152.70730090141296,68,18.95291304588318,191,269.6412959098816
1675556613.14702,28,23,4,27,154.87151217460632,69,19.802030324935913,193,277.37314462661743
1675556619.39377,29,24,4,28,159.29799103736877,78,20.967116594314575,193,277.37314462661743
1675556622.611491,30,25,4,29,160.4115195274353,87,22.387406587600708,193,277.37314462661743
1675556630.789984,31,26,4,30,164.68250012397766,88,22.933624982833862,206,279.9817967414856
1675556690.142321,32,27,4,31,177.3110065460205,89,23.516855478286743,219,325.2409358024597
1675556729.1185167,33,28,4,32,180.1223828792572,90,24.319715976715088,238,359.71297788619995
1675556800.6185355,34,29,4,33,189.63645195960999,91,24.81666588783264,258,420.21025109291077
1675556848.8496096,35,30,4,34,210.0315079689026,92,26.05282735824585,277,445.78959345817566
1675556898.219172,36,31,4,35,212.33309721946716,93,27.81228470802307,296,489.4800651073456
1675556923.7030537,37,31,5,36,230.17043042182922,94,28.899433612823486,298,494.63467717170715
1675556965.5896244,38,32,5,37,234.3977735042572,95,30.031386613845825,318,529.6298325061798
1675556992.373846,39,32,6,38,249.84181332588196,96,31.468475103378296,320,538.031290769577
1675557044.922631,40,33,6,39,261.7180755138397,97,32.127636432647705,339,576.3300356864929
1675557066.396496,41,33,7,40,270.28267765045166,98,38.43371605873108,341,581.4104280471802
1675557094.2126937,42,34,7,41,277.8296947479248,99,39.59839105606079,360,598.8948996067047
1675557207.082878,43,35,7,42,305.96926712989807,100,40.64245581626892,379,681.2971742153168
1675557252.9499655,44,36,7,43,324.4872736930847,101,42.167896032333374,398,705.3202955722809
1675557321.9513564,45,37,7,44,340.4870193004608,102,42.70914077758789,417,755.9710230827332
1675557419.483504,46,38,7,45,364.08173418045044,103,44.68582105636597,436,825.6972944736481
1675557553.024076,47,39,7,46,384.6054034233093,104,45.36073923110962,456,936.1269998550415
1675557630.8052197,48,40,7,47,399.3657615184784,105,46.104422092437744,475,996.3474462032318
1675557772.1521106,49,41,7,48,417.36361289024353,106,46.69686770439148,495,1117.0320060253143
1675557847.8900158,50,42,7,49,442.57302808761597,107,47.32531189918518,514,1165.5685200691223
1675557894.2574697,51,43,7,50,450.3248190879822,108,47.8426570892334,533,1202.1745431423187
1675557900.1832597,52,43,7,51,454.67563128471375,108,47.8426570892334,533,1202.1745431423187
