,Gen__coeff_0_0_0,Gen__coeff_0_0_1,Gen__coeff_0_1_0,Gen__coeff_0_1_1,Gen__coeff_0_2_0,Gen__coeff_0_2_1,Gen__coeff_0_3_0,Gen__coeff_0_3_1,Gen__coeff_1_0_0,Gen__coeff_1_0_1,Gen__coeff_1_1_0,Gen__coeff_1_1_1,Gen__coeff_1_2_0,Gen__coeff_1_2_1,Gen__coeff_1_3_0,Gen__coeff_1_3_1,Gen__const_0,Gen__const_1,Gen__clause_0_0,Gen__clause_0_1,Gen__clauseneg_0_0,Gen__clauseneg_0_1
0,-1,1,0,0,1,-1,0,0,-1,1,0,0,-1,1,1,-1,0,0,True,False,False,True
1,-1,1,0,1,1,0,0,-1,-1,1,0,0,-1,1,1,-1,0,0,True,False,False,True
2,-1,1,0,1,1,0,0,-1,-1,0,0,0,-1,0,1,0,0,0,True,True,False,False
3,-1,0,0,1,-1,1,1,-1,-1,1,0,0,1,-1,0,0,0,0,True,True,False,False
4,-1,1,0,1,1,0,0,-1,0,-1,0,1,0,0,0,0,0,0,True,True,False,False
5,-1,1,0,1,1,0,0,-1,-1,1,0,0,1,-1,0,0,0,0,True,True,False,False
6,-1,1,0,0,1,-1,0,0,1,-1,0,0,1,-1,-1,1,0,0,True,False,False,True
7,-1,0,0,1,-1,1,1,-1,-1,1,0,1,1,0,0,-1,0,0,True,True,False,False
8,-1,1,0,1,1,0,0,-1,1,-1,0,0,1,-1,-1,1,0,0,True,False,False,True
9,0,-1,0,1,0,0,0,0,-1,1,0,0,1,-1,0,0,0,0,True,True,False,False
10,0,0,0,0,1,-1,0,0,-1,0,1,0,0,0,0,0,0,0,True,True,False,False
